	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
SNRNP35	399	295	426	275	303	923
RILPL1	249	250	401	262	221	769
MIR3908	0	0	0	0	0	0
TMED2	2926	2892	4830	2628	2739	7900
DDX55	411	386	793	361	394	1069
EIF2B1	737	592	978	555	665	1843
GTF2H3	323	285	543	270	294	852
TCTN2	91	83	176	67	65	239
ATP6V0A2	216	220	296	186	175	604
DNAH10	0	1	1	3	1	5
CCDC92	434	404	555	349	343	1080
ZNF664	1550	1472	2664	1202	1325	3672
NCOR2	1131	1237	1768	1278	797	2666
SCARB1	922	946	1266	945	764	2488
UBC	12510	10074	15982	11666	11216	34008
MIR5188	1	2	8	3	7	15
DHX37	202	191	297	280	208	557
BRI3BP	187	146	179	107	145	341
AACS	494	451	766	457	490	1424
TMEM132B	4	5	5	4	0	12
LINC00507	0	0	0	0	0	0
TMEM132C	0	0	0	0	0	0
MIR3612	0	0	0	0	0	0
SLC15A4	216	189	354	196	206	572
GLT1D1	0	0	0	0	0	0
TMEM132D	0	0	0	1	0	0
FZD10	26	25	24	23	12	54
PIWIL1	3	2	4	4	2	12
RIMBP2	0	6	0	0	0	2
STX2	235	195	364	207	222	758
RAN	3915	3106	4603	3209	3607	11205
SFSWAP	628	541	749	564	488	1385
MMP17	15	30	23	37	8	53
ULK1	470	557	705	600	328	1081
PUS1	136	147	200	210	119	397
EP400	979	898	1423	811	755	2272
SNORA49	2	0	0	0	0	2
DDX51	146	217	251	180	167	464
NOC4L	91	94	130	127	76	278
GALNT9	0	0	1	0	0	0
LOC100130238	0	0	1	0	1	9
FBRSL1	136	196	283	205	138	364
LRCOL1	0	0	0	0	0	0
P2RX2	0	0	0	0	0	0
POLE	253	243	348	227	236	586
PXMP2	52	37	46	39	34	79
PGAM5	472	391	624	457	353	1308
ANKLE2	1317	1265	1842	1306	1299	3656
GOLGA3	1147	1115	1685	1244	1109	3374
CHFR	361	424	587	393	313	961
ZNF605	184	217	483	175	183	466
ZNF26	4	4	3	4	2	13
ZNF84	33	25	44	30	22	106
ZNF140	108	69	147	75	85	200
ZNF10	63	65	103	54	41	188
ZNF268	228	242	390	155	197	459
ANHX	0	0	0	0	0	0
ANKRD20A9P	0	0	0	0	0	0
LINC00442	0	0	0	0	0	0
TUBA3C	0	0	0	0	0	0
ANKRD26P3	0	0	0	0	0	0
LINC00421	0	0	0	0	0	0
TPTE2	0	0	0	2	0	0
MPHOSPH8	1089	971	1560	866	908	2524
PSPC1	820	638	1106	638	685	2234
ZMYM5	141	120	250	139	120	349
ZMYM2	1270	1424	2611	1132	1151	3056
GJA3	6	4	3	1	3	4
GJB2	1780	1701	2461	2136	2169	6133
GJB6	40	37	62	51	53	110
CRYL1	108	101	151	105	82	282
MIR4499	0	0	0	0	0	0
IFT88	85	82	148	73	73	182
IL17D	1	3	2	1	1	4
XPO4	285	271	581	258	243	815
LATS2	289	265	485	302	211	743
SAP18	1996	1579	2492	1470	1449	4670
SKA3	68	37	150	55	49	165
MIPEPP3	9	7	14	9	10	39
ZDHHC20	538	556	1197	480	507	1288
FGF9	1	0	0	0	0	0
LINC00424	0	0	0	0	0	0
BASP1P1	0	0	0	0	0	0
SGCG	0	0	0	0	0	0
SACS	454	488	958	438	434	1406
LINC00327	1	0	0	0	0	3
TNFRSF19	7	10	11	10	8	28
MIPEP	206	197	318	156	172	474
C1QTNF9B	0	0	0	1	0	0
ANKRD20A19P	0	1	0	0	0	0
SPATA13	37	28	76	20	17	84
MIR2276	0	0	0	0	0	0
SPATA13-AS1	0	0	0	0	0	0
C1QTNF9	0	0	0	0	0	0
PARP4	1658	1341	2355	1205	1331	3749
TPTE2P6	4	3	2	0	1	1
ATP12A	21	19	44	25	30	134
RNF17	0	0	3	2	1	10
CENPJ	157	161	292	120	169	382
TPTE2P1	11	9	16	3	3	11
PABPC3	5	5	11	9	5	5
AMER2	0	0	0	0	0	0
MTMR6	230	189	493	222	242	618
ATP8A2	24	9	12	16	17	29
SHISA2	2	1	1	0	1	1
RNF6	2181	1933	3300	1516	1828	5235
CDK8	355	349	626	318	361	910
WASF3	139	103	187	78	93	288
GPR12	0	1	0	0	0	0
USP12	404	431	877	343	368	944
RPL21	0	0	0	0	0	0
RPL21P28	0	0	0	0	0	0
SNORD102	0	0	7	0	0	2
SNORA27	1	2	12	2	8	13
RASL11A	7	4	6	2	3	11
GTF3A	611	464	745	418	466	1401
MTIF3	310	371	633	311	299	918
LNX2	710	598	990	611	709	1744
POLR1D	1951	1677	2681	1446	1671	4759
GSX1	0	0	0	0	0	0
PDX1	0	0	0	0	0	0
CDX2	0	0	0	0	0	1
FLT3	0	0	0	0	0	0
PAN3-AS1	11	9	10	4	7	24
PAN3	222	238	394	191	179	485
FLT1	0	0	0	0	0	0
POMP	662	613	1302	618	658	1648
SLC46A3	60	56	154	70	63	161
MTUS2	1	0	1	0	0	0
MTUS2-AS1	0	0	0	0	0	0
SLC7A1	1177	1046	1720	1223	1104	3490
UBL3	136	159	285	140	127	342
LINC00297	0	0	0	0	0	0
LINC00544	0	0	0	0	0	0
KATNAL1	377	288	478	286	294	783
LINC00426	0	0	0	0	0	0
HMGB1	1860	1675	2609	1270	1537	4505
USPL1	261	225	451	199	189	667
ALOX5AP	15	21	17	11	17	27
LINC00398	0	0	4	0	0	0
TEX26-AS1	0	0	0	0	0	0
MEDAG	0	0	0	0	0	0
TEX26	0	0	0	0	0	0
HSPH1	1039	1035	2250	892	973	2746
RXFP2	0	0	0	0	0	0
EEF1DP3	0	0	0	0	0	0
FRY	20	28	19	8	2	23
ZAR1L	0	0	0	0	0	0
BRCA2	43	53	109	38	39	96
N4BP2L1	17	13	14	13	13	20
N4BP2L2	564	539	1119	400	497	1360
MINOS1P1	1	0	1	1	1	2
N4BP2L2-IT2	10	27	24	11	14	44
PDS5B	495	442	805	409	392	1097
LINC00423	0	0	0	0	0	0
KL	0	3	0	0	0	0
STARD13	169	212	327	227	223	586
STARD13-AS	0	0	0	0	0	0
RFC3	39	51	93	34	34	107
LINC00457	0	0	0	0	0	0
NBEA	37	38	63	27	30	61
MAB21L1	21	16	20	5	13	17
MIR548F5	0	0	0	0	0	0
DCLK1	1	3	10	2	3	0
SOHLH2	0	0	0	0	0	0
CCDC169-SOHLH2	0	0	0	0	0	0
CCDC169	0	0	0	0	1	0
CCNA1	19	18	31	18	22	53
SERTM1	0	0	0	0	0	0
RFXAP	9	12	38	15	11	35
SMAD9	12	2	32	3	7	16
ALG5	261	245	418	200	220	610
EXOSC8	152	126	208	107	105	327
SUPT20H	904	808	1295	748	745	2145
CSNK1A1L	0	0	0	0	0	0
LINC00547	0	0	0	0	0	0
POSTN	171	208	414	170	182	320
TRPC4	0	0	0	0	0	0
LINC00571	3	12	13	6	6	17
UFM1	2412	1877	3049	1733	2034	5467
LINC00366	0	0	0	0	0	0
FREM2	4	0	6	0	1	8
STOML3	0	0	0	0	0	0
PROSER1	885	868	1272	756	861	2220
NHLRC3	239	223	366	179	215	537
COG6	275	260	425	253	210	671
MIR4305	0	0	0	0	0	0
LINC00332	0	0	2	0	0	0
LINC00548	0	0	1	0	0	3
LINC00598	3	8	6	0	3	9
FOXO1	309	363	505	207	222	578
MIR320D1	0	0	0	0	0	0
MRPS31	336	289	488	214	292	883
SLC25A15	79	69	129	82	53	180
TPTE2P5	2	3	3	1	6	6
MIR621	0	0	0	0	0	0
SUGT1P3	2	1	0	0	0	5
ELF1	1862	1639	2439	1255	1379	3986
WBP4	396	325	652	339	330	950
KBTBD6	185	134	274	160	154	403
KBTBD7	62	50	83	53	60	191
MTRF1	95	92	162	72	97	233
NAA16	65	89	144	55	67	221
OR7E37P	0	0	0	0	0	0
RGCC	41	25	55	19	21	48
VWA8	975	831	1463	672	689	1997
MIR5006	0	0	0	1	0	0
VWA8-AS1	5	4	4	4	1	14
DGKH	132	159	200	135	123	390
AKAP11	663	689	1333	586	532	1634
TNFSF11	14	2	15	3	4	21
FAM216B	0	0	0	0	0	0
EPSTI1	40	73	68	93	106	271
DNAJC15	368	384	623	286	314	896
ENOX1	4	3	11	6	3	9
CCDC122	33	45	136	39	29	100
LACC1	455	482	907	420	532	1176
LINC00284	0	1	3	2	1	0
SMIM2-IT1	0	0	0	0	0	0
SERP2	3	3	0	3	3	6
TSC22D1	1326	1217	1873	938	1026	2866
TSC22D1-AS1	9	8	7	4	1	8
LINC00330	0	1	0	0	0	1
NUFIP1	106	116	200	89	100	251
GTF2F2	538	470	1057	563	525	1618
KCTD4	0	0	1	1	2	0
TPT1	41982	35019	60281	35526	35812	97440
SNORA31	3	12	23	13	6	10
TPT1-AS1	66	53	106	60	72	206
SLC25A30	259	280	472	235	257	704
COG3	390	371	676	357	371	1002
SPERT	0	0	0	0	0	0
SIAH3	0	0	0	0	1	1
ZC3H13	2961	2564	4032	2139	2460	7193
CPB2-AS1	7	2	1	0	2	3
CPB2	0	2	1	0	0	0
LCP1	103	89	114	73	82	271
LINC00563	0	0	0	0	0	0
LRCH1	290	272	402	229	273	825
ESD	848	810	1518	706	714	2059
HTR2A	0	0	0	0	0	0
SUCLA2	341	353	708	334	322	1025
NUDT15	212	184	342	151	158	524
MED4	810	702	1350	569	745	2237
MED4-AS1	3	0	0	5	5	13
ITM2B	1191	1626	3583	1365	1216	3204
RB1	493	486	1049	412	424	1322
LPAR6	96	118	196	99	94	254
RCBTB2	81	49	88	46	59	159
LINC00462	0	0	0	0	0	0
CYSLTR2	0	0	0	0	0	0
FNDC3A	431	394	874	393	388	1092
MLNR	0	0	0	0	0	0
CDADC1	94	94	147	68	77	232
CAB39L	139	160	253	116	148	449
SETDB2	99	130	192	97	110	291
PHF11	105	141	292	147	162	440
RCBTB1	327	269	446	239	270	800
ARL11	1	4	6	1	3	18
EBPL	177	158	251	134	155	428
KPNA3	466	546	1082	433	482	1346
CTAGE10P	0	0	0	0	0	0
SPRYD7	318	270	475	273	230	778
DLEU2	4	11	6	5	2	23
MIR3613	1	1	1	0	0	0
TRIM13	153	139	358	155	158	432
KCNRG	3	2	1	1	0	0
MIR16-1	0	0	0	0	0	0
MIR15A	0	0	0	0	0	0
DLEU1	58	36	77	37	37	88
ST13P4	3	1	0	0	2	2
DLEU7	0	0	0	0	0	0
DLEU7-AS1	2	0	0	2	2	0
RNASEH2B-AS1	0	0	0	0	0	0
RNASEH2B	57	67	153	63	50	147
GUCY1B2	0	0	0	0	0	0
FAM124A	0	1	1	1	0	2
SERPINE3	0	0	0	0	0	1
MIR5693	1	0	0	0	0	0
INTS6	1029	849	1513	815	967	2449
MIR4703	0	0	0	0	0	0
WDFY2	294	277	444	230	219	730
DHRS12	35	36	55	41	32	101
CCDC70	0	0	0	0	0	0
ATP7B	233	233	325	229	197	579
ALG11	40	58	143	46	50	106
UTP14C	477	363	625	286	324	966
NEK5	1	3	8	1	6	2
NEK3	99	125	161	116	129	292
MRPS31P5	50	55	87	39	35	126
THSD1	396	364	449	416	424	1193
VPS36	754	667	1280	576	633	1841
CKAP2	1085	1108	2013	763	850	2264
TPTE2P3	0	0	0	0	0	0
HNRNPA1L2	129	100	171	68	95	247
SUGT1	219	306	634	257	240	782
MIR759	0	0	0	0	0	0
PCDH8	0	0	0	0	0	0
OLFM4	2	0	0	0	0	0
LINC00558	0	0	0	0	0	0
MIR1297	0	0	0	0	0	0
MIR5007	0	0	0	0	0	0
PRR20A	0	0	0	0	0	0
PRR20C	0	0	0	0	0	0
PRR20E	0	0	0	0	0	0
PRR20D	0	0	0	0	0	0
PRR20B	0	0	0	0	0	0
PCDH17	0	0	0	0	2	2
DIAPH3	150	134	344	130	125	361
DIAPH3-AS1	0	0	0	1	0	0
DIAPH3-AS2	0	0	0	0	0	0
TDRD3	298	249	437	226	212	679
MIR3169	0	0	0	0	0	0
PCDH20	2	1	1	1	0	2
OR7E156P	0	0	0	0	0	0
PCDH9	9	10	11	4	12	10
PCDH9-AS2	0	0	0	0	0	0
PCDH9-AS3	0	0	0	0	0	0
LINC00550	0	0	0	0	0	0
KLHL1	0	0	0	0	0	0
ATXN8OS	0	0	0	0	0	0
LINC00348	0	0	0	0	0	0
DACH1	0	0	0	0	0	0
MZT1	21	22	52	25	20	79
BORA	93	85	155	70	76	149
DIS3	629	657	1421	667	672	1705
PIBF1	73	76	222	77	80	245
KLF5	2590	2316	3491	2315	2270	6425
KLF12	158	157	315	131	142	403
LINC00381	0	0	0	0	0	0
LINC00347	0	0	0	0	0	0
CTAGE11P	0	0	0	1	2	2
TBC1D4	202	220	401	186	157	518
COMMD6	270	289	671	249	258	706
UCHL3	313	320	801	283	323	888
LMO7	2236	2014	3409	2122	2123	6522
KCTD12	776	668	1421	938	852	2526
BTF3P11	0	0	0	0	0	0
CLN5	477	470	940	392	416	1131
FBXL3	165	197	453	155	160	467
MYCBP2	1109	1016	1733	932	1004	2761
MYCBP2-AS1	3	7	0	4	4	6
SCEL	2509	2426	4738	2672	2649	9417
SLAIN1	2	1	1	2	1	8
MIR3665	0	0	0	0	0	0
EDNRB	0	0	0	0	0	0
LINC00446	0	0	0	0	0	0
POU4F1	0	0	1	0	0	0
RNF219	177	202	501	145	159	479
LINC00331	0	0	0	0	0	0
RBM26	852	791	1262	799	804	2402
RBM26-AS1	24	28	33	16	21	86
NDFIP2-AS1	0	0	0	0	0	0
NDFIP2	592	584	1199	509	528	1432
SPRY2	73	61	128	90	71	238
SLITRK1	0	0	0	0	0	0
LINC00333	0	0	0	0	0	0
LINC00351	0	0	0	0	0	0
SLITRK6	656	657	1263	441	428	1171
MIR4500HG	0	0	0	0	0	0
MIR4500	0	0	0	0	0	0
SLITRK5	6	5	7	4	3	15
LINC00433	0	0	0	0	0	0
LINC00353	0	0	0	1	0	0
LINC00559	0	0	0	0	0	0
MIR622	0	0	0	0	0	0
LINC00410	0	0	0	0	0	0
LINC00379	0	0	0	0	0	0
MIR17HG	6	13	27	10	13	13
MIR17	0	0	0	0	0	0
MIR18A	0	0	0	0	0	0
MIR19A	0	0	0	0	0	0
MIR20A	0	0	0	0	0	0
MIR19B1	0	0	0	0	0	0
MIR92A1	0	0	0	0	0	0
GPC5	0	0	0	1	0	0
GPC5-AS1	0	0	0	0	0	0
GPC6	30	25	55	13	19	57
GPC6-AS2	0	0	0	0	0	0
DCT	0	0	0	0	0	0
TGDS	73	63	193	53	72	208
GPR180	216	239	501	216	207	572
SOX21	14	14	31	12	3	40
ABCC4	125	120	239	98	99	306
CLDN10	5	4	3	3	4	5
CLDN10-AS1	0	0	0	0	0	0
DZIP1	143	119	193	104	97	294
DNAJC3	1058	1017	1614	919	988	2516
UGGT2	158	180	332	154	140	443
HS6ST3	5	0	0	0	2	7
LINC00359	0	0	0	0	0	0
OXGR1	0	0	0	0	0	0
MBNL2	502	517	852	425	377	840
RAP2A	265	228	564	230	273	710
IPO5	1423	1385	2709	1244	1296	3964
FARP1	512	475	778	483	485	1475
RNF113B	0	0	0	0	0	0
MIR3170	0	0	0	0	0	0
STK24	2059	1905	3241	1701	1655	5112
SLC15A1	3	1	6	1	4	2
DOCK9	1495	1360	2295	1374	1317	3915
UBAC2-AS1	5	5	12	5	2	7
UBAC2	697	668	948	598	543	1641
MIR548AN	0	0	0	0	0	0
GPR18	0	0	0	0	0	0
GPR183	0	0	0	0	0	0
FKSG29	0	0	0	0	0	0
MIR623	1	0	0	0	0	0
TM9SF2	2123	2147	3791	1742	2014	5410
CLYBL	53	52	52	28	23	99
MIR4306	0	0	0	0	0	0
ZIC5	0	0	0	0	0	0
ZIC2	0	0	0	0	0	0
PCCA	215	160	354	152	179	527
PCCA-AS1	0	0	0	0	0	0
GGACT	39	29	54	20	20	92
TMTC4	105	84	136	73	57	167
NALCN-AS1	1	0	0	0	1	0
NALCN	21	16	32	21	13	67
ITGBL1	58	38	79	41	51	121
FGF14	3	0	1	0	0	0
MIR2681	0	0	0	0	0	0
MIR4705	0	0	0	0	0	0
FGF14-IT1	0	0	0	0	0	0
FGF14-AS2	2	6	5	2	1	1
TPP2	591	508	967	390	485	1299
METTL21C	0	0	0	0	0	0
CCDC168	7	6	3	2	2	14
TEX30	57	47	49	40	40	144
KDELC1	105	80	119	75	85	251
BIVM	59	42	99	32	46	118
BIVM-ERCC5	0	0	0	0	0	0
ERCC5	13	15	24	21	25	42
METTL21EP	3	3	12	2	3	6
SLC10A2	1	0	0	0	1	0
MIR548AS	0	0	0	0	0	0
DAOA-AS1	0	0	0	0	0	0
DAOA	0	0	0	1	0	0
LINC00343	0	0	0	0	0	0
LINC00460	4	0	12	2	5	10
EFNB2	1231	1218	1969	1104	1207	3346
ARGLU1	927	888	1547	730	823	2215
LINC00551	0	1	3	1	0	0
LINC00443	0	0	0	0	0	0
FAM155A	0	0	0	0	0	1
LIG4	321	401	776	322	354	983
ABHD13	112	122	279	94	87	216
TNFSF13B	8	4	11	5	1	4
MYO16	3	8	13	6	2	4
MYO16-AS1	0	0	1	1	2	2
IRS2	78	93	101	52	57	159
COL4A1	1039	945	1522	980	999	2810
COL4A2	1530	1418	2039	1600	1151	3521
COL4A2-AS1	1	3	0	0	0	1
RAB20	41	35	43	59	32	101
CARS2	749	625	1097	638	571	1619
ING1	237	184	309	197	219	562
LINC00346	10	4	2	2	4	15
ANKRD10	148	169	206	141	153	372
ARHGEF7	715	737	1171	714	629	1963
TEX29	0	1	1	1	6	0
SOX1	0	0	0	0	0	0
SPACA7	0	0	0	0	0	0
TUBGCP3	292	210	373	190	262	667
ATP11A	548	584	853	640	568	1597
MCF2L-AS1	0	0	0	0	0	0
MCF2L	1	0	0	0	1	1
F7	0	0	0	0	0	0
F10	0	0	0	0	0	0
PROZ	0	0	0	0	0	0
PCID2	372	311	453	306	278	876
CUL4A	1036	799	1755	935	994	2689
LAMP1	4404	4408	6878	4009	3466	10044
GRTP1	30	37	41	26	27	56
ADPRHL1	17	17	24	10	9	28
DCUN1D2	128	119	124	82	102	351
TMCO3	1325	1227	1835	1260	1151	3087
TFDP1	994	848	1444	784	813	2444
ATP4B	0	0	0	0	0	0
GRK1	0	0	0	0	0	0
LINC00552	0	0	0	0	0	0
TMEM255B	10	16	20	22	12	36
GAS6-AS1	23	25	25	15	14	31
GAS6	769	806	1168	1167	769	2426
LINC00565	0	0	0	0	0	0
RASA3	112	81	149	103	123	322
CDC16	693	640	1093	552	579	1770
UPF3A	1002	837	1242	662	743	2130
CHAMP1	327	305	525	285	267	765
OR11H12	0	0	0	0	0	0
POTEG	0	0	0	0	0	0
POTEM	0	0	0	0	0	0
OR11H2	0	0	0	0	0	0
OR4Q3	0	0	0	0	0	0
OR4M1	0	0	0	0	0	0
OR4N2	0	0	0	0	0	0
OR4K2	0	0	0	0	0	0
OR4K5	0	0	0	0	0	0
OR4K1	0	0	0	0	0	0
OR4K15	0	0	0	0	0	0
OR4K14	0	0	0	0	0	0
OR4K13	0	0	0	0	0	0
OR4L1	0	0	0	0	0	0
OR4K17	0	0	0	0	0	0
OR4N5	0	0	0	0	0	0
OR11G2	0	0	0	0	0	0
OR11H6	0	0	0	0	0	0
OR11H4	0	0	0	0	0	0
TTC5	132	109	175	105	74	302
CCNB1IP1	330	282	480	245	287	1007
SNORD126	0	3	0	0	1	0
RPPH1	0	2	18	39	2	4
PARP2	381	343	403	284	345	998
TEP1	592	521	710	461	418	1257
KLHL33	0	0	0	0	0	0
OSGEP	142	123	189	135	124	378
APEX1	1839	1462	2203	1476	1475	4230
PNP	1501	1257	2062	1480	1383	4629
RNASE10	0	0	0	0	0	0
RNASE9	0	0	0	0	0	0
RNASE11	0	0	0	0	0	0
RNASE12	0	0	0	0	0	0
OR6S1	0	0	0	0	0	0
ANG	24	22	32	18	34	49
RNASE4	40	57	90	49	46	127
EDDM3A	0	0	0	0	0	0
EDDM3B	0	0	0	0	0	0
RNASE6	3	0	0	0	0	1
RNASE1	31	20	41	18	24	50
RNASE3	0	0	0	0	0	0
ECRP	0	0	0	0	0	0
RNASE2	0	0	0	0	0	0
METTL17	492	435	609	431	384	1130
SLC39A2	5	1	7	4	4	24
NDRG2	524	491	670	579	549	1540
TPPP2	1	0	0	0	0	0
RNASE13	0	0	0	0	0	0
RNASE7	707	572	815	590	606	1575
RNASE8	0	0	3	0	0	0
ARHGEF40	405	391	550	411	386	1032
ZNF219	262	260	383	267	192	591
TMEM253	43	27	45	27	31	65
OR5AU1	0	0	0	0	0	0
LINC00641	166	164	287	128	115	395
HNRNPC	21242	16410	23620	13967	17515	47464
RPGRIP1	4	0	2	1	0	0
SUPT16H	2509	2078	3674	1817	2203	6109
CHD8	2261	1958	2793	1849	2035	5853
SNORD9	3	1	0	1	0	0
SNORD8	0	0	0	0	1	0
RAB2B	169	138	300	157	183	462
TOX4	1731	1416	2354	1288	1427	3974
METTL3	579	466	728	438	488	1393
SALL2	37	38	47	29	32	74
OR10G3	0	0	0	0	0	0
OR10G2	0	0	0	0	0	0
OR4E2	0	0	0	0	0	0
DAD1	1671	1498	2306	1576	1544	4360
ABHD4	779	777	1158	695	595	1766
OXA1L	934	820	1348	776	874	2421
SLC7A7	1	5	9	4	3	14
MRPL52	315	306	505	312	318	966
MMP14	14575	14043	18494	14475	12971	34266
LRP10	2136	2037	3014	2266	1745	5317
REM2	1	2	5	4	2	5
RBM23	678	580	857	520	515	1678
PRMT5	1371	1015	1815	1084	1161	3649
HAUS4	216	194	369	187	194	580
MIR4707	0	0	0	0	0	0
AJUBA	1547	1484	2302	1370	1354	3901
C14orf93	120	74	130	65	79	178
PSMB5	2040	1651	2779	1854	1855	5668
PSMB11	0	0	0	0	0	0
CDH24	96	94	106	85	67	186
ACIN1	3096	3041	4378	2766	2915	8244
C14orf119	986	840	1441	851	808	2505
CEBPE	0	0	0	0	0	0
SLC7A8	398	398	491	263	230	734
HOMEZ	560	524	856	512	502	1355
PPP1R3E	51	55	83	38	45	90
BCL2L2-PABPN1	0	0	0	0	0	0
BCL2L2	1184	1153	1677	983	1102	2995
PABPN1	207	228	309	171	224	549
SLC22A17	25	13	24	13	16	23
EFS	82	101	136	82	62	207
IL25	0	0	0	0	0	0
CMTM5	0	0	0	0	0	0
MYH6	0	0	0	0	0	0
MIR208A	0	0	0	0	0	0
MYH7	0	0	0	0	0	1
MIR208B	0	0	0	0	0	0
NGDN	340	305	507	276	303	873
THTPA	98	86	113	87	74	236
ZFHX2	73	70	110	94	70	231
AP1G2	1152	1122	1527	1098	968	2852
JPH4	1	2	0	2	1	6
DHRS2	18	8	18	11	7	66
DHRS4-AS1	283	265	401	238	173	530
DHRS4	134	122	167	133	96	333
DHRS4L2	103	107	154	92	103	305
DHRS4L1	0	0	0	0	0	0
CPNE6	0	0	0	0	0	0
NRL	0	3	2	3	1	10
PCK2	129	144	170	164	120	360
DCAF11	666	561	923	516	519	1547
FITM1	1	0	0	0	0	3
PSME1	859	778	1161	822	1012	2447
EMC9	39	50	55	55	36	134
PSME2	841	661	1033	782	879	2618
RNF31	327	340	426	314	278	892
IRF9	341	321	500	685	714	2078
REC8	213	243	289	206	183	548
IPO4	328	320	429	348	294	1016
TM9SF1	600	544	848	608	567	1669
TSSK4	0	3	0	0	0	2
CHMP4A	1443	1242	2002	1023	1207	3557
NEDD8-MDP1	0	0	0	0	0	0
MDP1	2	2	3	5	0	14
NEDD8	612	471	866	473	503	1598
GMPR2	725	639	1071	573	610	1889
TINF2	1089	912	1358	1039	1116	3457
TGM1	485	499	770	836	667	2373
RABGGTA	432	449	595	466	448	1396
DHRS1	479	375	666	473	453	1376
NOP9	328	304	466	325	274	909
CIDEB	47	67	66	42	38	108
LTB4R2	11	34	20	14	24	56
LTB4R	284	360	462	283	341	882
ADCY4	33	16	21	42	17	47
RIPK3	149	139	235	164	185	504
NFATC4	352	391	510	382	335	1029
NYNRIN	1542	1545	2077	1330	1207	3545
CBLN3	129	163	182	111	135	363
KHNYN	1803	1619	2674	1679	1700	4697
SDR39U1	173	192	252	178	139	491
CMA1	0	0	0	0	0	0
CTSG	0	0	0	0	0	0
GZMH	0	0	0	0	0	0
GZMB	0	0	0	0	0	0
STXBP6	2	1	0	2	2	0
NOVA1	0	3	9	0	2	2
MIR4307	0	0	0	0	0	0
LINC00645	0	0	0	0	0	0
FOXG1	0	0	1	0	0	0
MIR548AI	0	0	0	0	0	0
PRKD1	9	20	13	3	12	45
G2E3	162	180	336	150	171	438
SCFD1	487	415	926	443	436	1222
COCH	3	0	0	0	2	0
LOC100506071	2	4	0	6	3	3
STRN3	726	621	1148	574	617	1691
MIR624	0	0	0	0	0	0
AP4S1	58	65	87	48	42	147
HECTD1	1742	1728	3273	1601	1651	4360
HEATR5A	321	272	470	262	247	788
DTD2	161	129	273	102	85	269
GPR33	0	0	0	0	0	0
NUBPL	164	184	308	117	137	481
ARHGAP5-AS1	61	48	112	43	45	117
ARHGAP5	734	841	2141	635	639	1801
AKAP6	66	84	125	57	69	167
NPAS3	1	0	0	1	2	0
EGLN3	210	230	454	199	201	506
SPTSSA	179	114	213	139	156	392
EAPP	500	417	643	403	462	1010
SNX6	913	953	2261	855	913	2616
CFL2	138	178	459	158	161	450
BAZ1A	2594	2321	4074	2122	2421	6802
IGBP1P1	0	0	0	0	0	0
SRP54	1447	1300	2285	1031	1277	3378
FAM177A1	702	598	1173	676	704	1844
PPP2R3C	53	52	155	62	78	178
KIAA0391	604	540	1004	546	615	1823
PSMA6	1512	1301	2071	1219	1574	4238
NFKBIA	1292	1415	1933	2421	2140	6090
INSM2	0	0	0	0	0	0
RALGAPA1	238	239	417	209	233	582
BRMS1L	214	218	502	173	230	480
LINC00609	0	0	0	0	0	0
PTCSC3	0	0	0	0	0	0
MBIP	156	229	345	142	179	407
SFTA3	16	9	34	15	13	34
NKX2-1	181	220	232	160	122	399
NKX2-8	4	7	7	7	5	15
PAX9	396	431	650	339	286	890
SLC25A21	10	8	17	2	10	22
MIR4503	0	0	0	0	0	0
MIPOL1	102	87	172	70	73	257
FOXA1	618	592	909	648	609	1748
SSTR1	0	0	0	0	0	0
CLEC14A	0	0	0	0	0	0
LINC00639	1	0	0	0	0	0
SEC23A	825	760	1464	781	808	2371
GEMIN2	75	53	130	61	64	161
TRAPPC6B	199	236	560	205	188	540
PNN	3459	3138	4507	2396	2839	8379
MIA2	1	0	0	0	0	0
LOC100288846	3	2	2	0	3	0
FBXO33	157	160	318	103	148	389
LRFN5	0	0	0	0	0	0
FSCB	0	0	0	0	0	0
C14orf28	18	25	24	17	18	49
KLHL28	121	122	175	104	113	299
PRPF39	427	461	754	381	415	1024
SNORD127	0	0	0	0	0	0
FKBP3	1020	892	1772	778	832	2452
FANCM	44	51	103	41	40	114
MIS18BP1	131	154	367	120	112	375
RPL10L	0	0	0	0	0	0
MDGA2	0	0	0	0	0	0
MIR548Y	0	0	0	0	0	0
LINC00648	1	2	0	0	2	1
RPS29	3122	2587	4551	2587	2663	7595
LRR1	52	48	81	72	42	91
RPL36AL	3750	3056	5294	3202	3506	10379
MGAT2	528	459	813	453	441	1283
DNAAF2	74	68	126	84	50	173
POLE2	33	28	54	18	11	58
KLHDC1	4	7	9	3	1	4
KLHDC2	217	233	324	183	202	501
NEMF	1463	1301	2409	1173	1276	3469
ARF6	1244	1205	2321	1057	1051	3096
SOS2	470	433	835	411	438	1046
L2HGDH	114	102	146	77	98	275
ATP5S	18	8	25	12	14	19
CDKL1	16	17	27	15	18	47
MAP4K5	712	657	1220	587	647	1938
ATL1	73	74	127	57	62	189
SAV1	445	387	692	412	434	1284
NIN	743	636	1208	620	662	1913
ABHD12B	1	0	0	1	0	0
PYGL	3408	2917	4862	2903	3211	9378
TRIM9	1	3	3	1	0	4
TMX1	468	520	818	427	421	1092
