NegControl1	NegControl2	NegControl3	NegControl4	NegControl5	case1.lung1	case1.lung2	case1.lung3	case1.lung4	case2.lung1	case2.lung2	case2.lung3	case3.lung1	case3.lung2	case4.lung1	case4.lung2	case5.lung1	case5.lung2	case5.lung3	case5.lung4	case5.lung5	ENTREZID	ENSEMBL	HGNC_SYMBOL
1	1	10	12	2	34	2	2	1	10	5	5	35	8	2	0	5	0	20	7	11	NA	NA	FAM103A1
1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	NA	NA	FAM103A2P
50	21	28	44	14	67	9	12	4	12	24	11	46	17	5	0	15	2	18	12	48	84923	ENSG00000133193	FAM104A
8	2	1	5	7	23	5	11	1	10	6	1	31	3	1	1	9	0	15	7	10	90736	ENSG00000182518	FAM104B
50	24	77	45	17	210	48	29	2	35	27	43	157	49	17	0	35	0	81	13	104	NA	NA	FAM105A
2	0	0	0	0	2	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	80039	ENSG00000273018	FAM106A
78	33	191	109	19	448	107	47	34	65	229	132	140	29	66	0	90	2	114	73	208	11170	ENSG00000168309	FAM107A
156	89	194	177	78	1019	133	192	44	123	129	116	528	117	49	0	99	0	250	72	217	83641	ENSG00000065809	FAM107B
20	1	17	7	2	36	6	16	0	2	2	5	27	2	8	0	13	2	7	5	13	NA	NA	FAM109A
21	2	6	4	1	16	1	3	0	0	6	17	26	8	7	0	5	2	11	8	20	NA	NA	FAM109B
2	4	11	1	1	20	13	0	0	2	4	5	35	10	2	0	2	1	4	14	10	83541	ENSG00000125898	FAM110A
4	0	9	0	6	17	0	2	0	2	0	3	8	3	0	0	6	0	7	4	7	90362	ENSG00000169122	FAM110B
24	3	11	28	8	17	1	5	1	1	5	8	6	2	2	0	3	0	8	4	5	642273	ENSG00000184731	FAM110C
1	0	6	0	1	8	1	0	1	0	2	0	19	3	2	1	7	1	8	0	16	79927	ENSG00000197245	FAM110D
174	44	183	152	65	573	83	80	24	117	128	116	428	120	36	12	82	11	227	71	263	63901	ENSG00000166801	FAM111A
19	3	1	5	1	10	5	2	0	3	0	4	30	3	1	1	9	0	41	5	13	374393	ENSG00000189057	FAM111B
286	34	217	129	51	668	115	93	15	87	113	116	334	56	40	0	73	3	221	102	196	92689	ENSG00000197712	FAM114A1
93	7	32	70	14	287	49	65	22	38	26	63	140	39	16	1	29	0	70	50	93	10827	ENSG00000055147	FAM114A2
26	5	14	25	5	53	1	4	5	3	5	29	62	14	9	0	17	1	34	22	19	81558	ENSG00000121104	FAM117A
19	9	35	15	7	124	34	28	5	13	7	28	52	3	7	0	16	1	33	19	51	150864	ENSG00000138439	FAM117B
49	3	212	53	4	71	13	18	4	62	74	111	212	59	40	0	23	3	31	12	60	55007	ENSG00000100376	FAM118A
35	13	25	23	15	85	7	16	1	24	25	18	75	14	3	0	16	0	21	20	31	79607	ENSG00000197798	FAM118B
676	93	312	499	116	1079	180	157	31	200	182	258	631	152	52	1	203	8	369	166	430	23196	ENSG00000048828	FAM120A
71	48	43	64	17	177	34	17	8	22	28	32	125	28	20	2	25	1	59	26	37	158293	ENSG00000188938	FAM120AOS
180	22	105	79	24	270	52	39	5	56	83	80	288	79	24	0	50	3	143	64	204	84498	ENSG00000112584	FAM120B
14	2	19	10	3	92	12	18	7	6	6	15	40	15	9	0	10	1	9	10	21	54954	ENSG00000184083	FAM120C
42	12	25	33	23	92	29	14	2	10	18	34	77	16	9	0	20	2	34	14	48	116224	ENSG00000187866	FAM122A
81	43	59	69	31	190	27	28	7	36	44	61	224	34	24	4	45	2	98	50	69	159090	ENSG00000156504	FAM122B
5	0	20	6	2	20	4	3	0	2	4	4	30	3	4	0	11	0	11	4	13	159091	ENSG00000156500	FAM122C
4	7	5	14	0	46	6	7	1	2	4	7	10	6	6	0	4	0	18	9	13	220108	ENSG00000150510	FAM124A
1	1	5	2	0	1	0	0	0	0	1	1	4	2	1	0	2	0	6	3	12	79843	ENSG00000124019	FAM124B
228	60	245	172	76	373	46	43	21	93	76	83	231	43	20	2	48	3	125	65	160	84668	ENSG00000122591	FAM126A
68	29	154	82	39	275	56	48	7	56	42	50	132	36	18	1	34	2	142	20	88	285172	ENSG00000155744	FAM126B
182	36	97	106	40	324	69	46	20	89	91	73	214	34	31	1	76	4	123	57	112	NA	NA	FAM127A
76	11	38	60	14	174	28	35	4	28	22	30	80	11	21	7	34	3	59	12	59	NA	NA	FAM127B
49	2	13	13	5	45	9	9	1	6	10	7	14	8	2	0	4	1	22	8	28	NA	NA	FAM127C
279	73	463	132	89	598	53	127	14	106	110	125	453	131	72	3	89	3	355	146	247	NA	NA	FAM129A
743	85	234	487	40	829	221	117	33	144	201	201	617	150	243	16	204	27	282	160	319	NA	NA	FAM129B
1	0	1	1	0	2	1	3	0	1	1	0	8	3	6	0	4	0	28	3	6	NA	NA	FAM129C
37	7	57	48	6	33	5	4	2	14	2	24	37	5	6	0	8	3	24	8	16	131408	ENSG00000175182	FAM131A
3	0	0	0	0	3	0	0	0	0	2	1	5	3	0	0	3	1	1	1	1	9715	ENSG00000159784	FAM131B
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	348487	ENSG00000185519	FAM131C
0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0	1	0	0	1	NA	NA	FAM132A
2	0	1	5	0	1	3	0	0	0	0	0	11	2	0	0	0	0	1	2	0	NA	NA	FAM132B
47	16	72	40	16	120	29	30	10	21	21	34	84	9	13	0	18	5	33	35	41	257415	ENSG00000234545	FAM133B
3	0	0	2	0	13	6	6	1	2	4	1	8	1	0	0	0	0	1	2	1	728640	NA	FAM133CP
1	0	1	1	0	11	1	0	0	0	2	1	1	0	0	0	0	0	1	0	2	728066	NA	FAM133DP
97	21	53	84	26	232	26	40	12	39	64	82	158	32	20	1	40	2	81	32	105	NA	NA	FAM134A
15	20	15	18	17	56	15	16	0	3	19	1	26	9	3	0	8	0	31	14	25	NA	NA	FAM134B
75	35	104	117	20	271	77	42	11	43	68	69	233	68	33	1	44	3	106	45	120	NA	NA	FAM134C
102	26	74	91	29	182	32	36	12	61	65	52	157	32	12	2	36	6	82	22	93	57579	ENSG00000082269	FAM135A
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	51059	ENSG00000147724	FAM135B
52	5	30	31	14	120	12	20	2	19	18	23	75	18	4	0	26	2	53	16	64	84908	ENSG00000035141	FAM136A
116	18	151	155	10	486	95	95	32	37	61	66	143	22	21	0	79	5	140	61	169	10144	ENSG00000138640	FAM13A
6	3	26	10	1	13	2	2	0	0	2	3	13	2	3	0	3	0	10	2	9	285512	ENSG00000248019	FAM13A-AS1
100	10	117	64	29	253	50	42	6	42	53	60	215	31	29	0	33	3	136	63	135	51306	ENSG00000031003	FAM13B
37	3	8	11	3	91	10	6	0	8	16	6	64	8	14	0	21	0	30	30	73	220965	ENSG00000148541	FAM13C
11	3	20	4	0	14	2	1	1	6	9	4	36	7	9	0	10	2	11	10	15	25854	ENSG00000109794	FAM149A
67	8	30	54	6	164	32	21	5	23	35	39	87	18	11	0	38	0	52	15	67	317662	ENSG00000138286	FAM149B1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	388181	ENSG00000214424	FAM149B1P1
1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	NA	NA	FAM150A
14	6	21	8	0	10	3	1	0	1	4	1	4	1	0	0	1	1	13	9	5	NA	NA	FAM150B
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338094	ENSG00000162391	FAM151A
1	0	9	1	1	21	1	4	0	4	1	7	8	1	0	0	1	1	5	0	0	167555	ENSG00000152380	FAM151B
3	2	0	6	0	1	0	2	0	0	0	1	1	0	1	0	3	0	5	2	6	285596	ENSG00000170074	FAM153A
4	0	0	5	0	1	0	0	0	0	1	2	3	1	1	0	1	0	5	1	11	202134	ENSG00000182230	FAM153B
2	0	5	2	1	1	0	0	0	0	0	0	0	1	1	0	0	5	1	0	0	NA	NA	FAM153C
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	FAM154A
3	2	11	0	0	0	1	0	0	0	3	0	4	2	0	0	1	1	0	2	0	NA	NA	FAM154B
0	1	0	2	2	3	0	1	1	4	0	0	24	4	2	0	1	0	0	0	6	728215	ENSG00000204442	FAM155A
1	0	0	3	1	6	0	0	0	0	0	0	16	2	1	0	0	1	0	0	1	100874375	NA	FAM155A-IT1
0	0	0	2	1	0	0	1	0	0	1	1	1	1	0	0	2	0	1	0	0	27112	ENSG00000130054	FAM155B
1	0	0	0	1	1	0	0	0	0	1	1	4	0	0	0	1	0	0	0	0	29057	ENSG00000268350	FAM156A
6	0	9	0	1	13	2	2	0	0	1	2	8	9	5	0	3	0	6	5	17	728262	ENSG00000236438	FAM157A
13	1	6	1	0	10	0	3	1	0	1	1	8	4	3	0	1	0	6	0	4	100132403	NA	FAM157B
9	0	25	9	0	53	8	5	2	2	2	1	13	6	5	0	10	0	21	9	22	100996541	NA	FAM157C
1	0	6	2	0	7	0	0	0	1	3	3	6	2	2	0	2	0	2	3	7	NA	NA	FAM159A
18	5	20	30	5	34	3	5	4	11	10	15	35	4	3	0	7	0	9	16	23	729830	ENSG00000164142	FAM160A1
30	17	40	37	6	63	10	8	0	29	27	32	106	11	19	1	13	0	49	16	49	84067	ENSG00000051009	FAM160A2
116	28	87	74	27	205	30	34	10	57	75	53	184	41	7	0	36	0	113	45	102	57700	ENSG00000151553	FAM160B1
149	8	104	114	9	132	29	16	1	28	41	36	116	31	55	0	25	1	76	42	102	64760	ENSG00000158863	FAM160B2
10	1	12	9	1	22	7	2	1	4	6	3	38	5	3	0	9	1	11	2	11	84140	ENSG00000170264	FAM161A
20	2	23	3	2	16	1	2	1	1	3	6	16	4	1	0	11	0	4	7	14	145483	ENSG00000156050	FAM161B
43	7	16	27	7	50	6	13	1	13	16	28	46	11	1	0	20	0	53	15	46	26355	ENSG00000114023	FAM162A
3	0	5	1	1	9	0	0	0	5	4	5	21	5	5	0	3	0	2	1	9	221303	ENSG00000183807	FAM162B
0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642968	ENSG00000196990	FAM163B
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	401565	ENSG00000188163	FAM166A
3	0	0	0	4	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	730112	ENSG00000215187	FAM166B
7	6	5	28	0	146	23	19	1	6	7	8	4	2	9	0	3	1	17	3	15	83648	ENSG00000154319	FAM167A
0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83656	ENSG00000184608	FAM167A-AS1
12	1	1	2	0	159	34	12	0	2	1	0	19	2	2	0	1	0	5	0	3	84734	ENSG00000183615	FAM167B
181	47	126	114	35	423	91	53	18	63	52	94	235	73	15	0	62	4	157	70	152	23201	ENSG00000054965	FAM168A
162	33	115	145	49	269	55	40	7	31	50	62	142	49	22	1	44	2	82	36	84	130074	ENSG00000152102	FAM168B
0	1	8	1	3	9	1	3	1	2	2	2	10	0	0	0	2	0	2	4	14	26049	ENSG00000198780	FAM169A
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	283777	ENSG00000283597	FAM169B
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	170370	ENSG00000172538	FAM170B
0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	100506733	ENSG00000234736	FAM170B-AS1
102	1	26	13	3	159	17	16	2	12	15	23	74	15	9	0	19	1	44	29	34	221061	ENSG00000148468	FAM171A1
1	0	2	1	0	2	2	1	0	0	0	0	2	0	0	0	0	0	0	1	3	284069	ENSG00000161682	FAM171A2
7	1	14	8	13	34	6	8	0	9	3	6	27	6	4	0	4	4	26	11	14	165215	ENSG00000144369	FAM171B
82	7	43	46	35	159	26	24	4	45	40	64	98	28	12	0	37	1	73	64	115	83989	ENSG00000113391	FAM172A
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	131909	NA	FAM172BP
4	0	2	1	1	7	8	0	0	0	2	0	5	4	8	0	4	0	1	1	3	NA	NA	FAM173A
5	0	1	6	1	48	6	7	1	3	7	3	14	1	1	0	2	0	4	6	1	NA	NA	FAM173B
13	6	8	18	10	51	1	9	2	3	14	9	32	9	2	0	7	0	13	17	22	345757	ENSG00000174132	FAM174A
23	2	24	16	1	43	7	9	0	3	26	14	26	9	10	1	2	0	14	6	13	400451	ENSG00000185442	FAM174B
15	2	33	32	5	22	1	4	0	20	13	18	64	12	7	0	10	0	20	19	45	NA	NA	FAM175A
35	27	30	45	21	111	29	15	2	35	26	33	97	15	3	0	21	1	46	8	41	NA	NA	FAM175B
190	33	285	218	89	443	65	77	18	127	111	128	367	57	38	2	111	1	219	76	247	283635	ENSG00000151327	FAM177A1
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728710	NA	FAM177A1P1
0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	7	0	0	400823	ENSG00000197520	FAM177B
263	48	121	157	29	581	89	87	31	86	119	97	276	74	10	0	85	3	193	74	167	NA	NA	FAM178A
0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	51252	ENSG00000168754	FAM178B
7	1	20	4	1	16	3	0	0	0	10	5	8	13	8	2	3	1	0	4	6	NA	NA	FAM179A
40	7	59	57	17	154	37	16	8	24	29	33	77	33	19	0	28	0	61	16	56	NA	NA	FAM179B
56	1	1	13	2	16	1	3	0	0	7	0	0	0	1	0	2	0	1	3	3	389558	ENSG00000189320	FAM180A
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	90050	ENSG00000140067	FAM181A
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	283592	ENSG00000258584	FAM181A-AS1
0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	220382	ENSG00000182103	FAM181B
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	284800	ENSG00000125804	FAM182A
0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	3	728882	NA	FAM182B
0	1	1	0	1	3	0	2	1	2	6	0	1	4	0	0	7	0	1	5	0	440585	ENSG00000186973	FAM183A
55	6	44	19	9	51	2	10	1	9	13	20	143	27	4	0	11	1	26	21	26	79632	ENSG00000111879	FAM184A
1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	27146	ENSG00000047662	FAM184B
8	4	8	14	0	8	4	2	0	1	11	1	16	2	0	0	4	0	3	6	9	222234	ENSG00000222011	FAM185A
0	0	0	0	1	0	2	2	0	0	0	2	0	0	0	0	1	1	1	1	1	641808	NA	FAM185BP
0	3	0	0	1	1	2	1	0	1	3	0	5	0	0	0	2	0	6	0	1	121006	ENSG00000185958	FAM186A
0	0	0	4	0	1	0	0	0	1	2	0	7	5	0	0	0	0	1	5	1	84070	ENSG00000135436	FAM186B
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148109	ENSG00000177558	FAM187B
48	5	29	39	23	152	22	27	4	27	29	16	92	13	5	0	26	0	49	26	54	NA	NA	FAM188A
14	4	12	10	1	8	2	2	0	0	8	3	11	1	2	0	5	0	8	4	5	NA	NA	FAM188B
1	1	1	0	1	2	1	0	1	0	1	0	0	1	0	0	3	0	0	0	7	23359	ENSG00000104059	FAM189A1
23	2	5	9	1	29	8	4	0	0	2	2	35	6	14	0	6	0	10	3	2	9413	ENSG00000135063	FAM189A2
26	3	9	25	2	77	13	6	0	4	10	12	45	9	14	1	10	4	29	17	29	10712	ENSG00000160767	FAM189B
143	32	112	111	16	400	74	74	24	96	86	66	304	73	34	1	74	5	208	75	129	NA	NA	FAM192A
285	6	241	139	23	454	60	74	27	113	70	133	335	66	36	1	79	6	177	90	181	8603	ENSG00000125386	FAM193A
248	15	218	115	22	264	50	39	8	48	47	79	220	67	80	1	74	9	130	67	128	54540	ENSG00000146067	FAM193B
30	1	5	22	0	22	2	2	0	12	7	17	16	5	5	0	4	2	3	6	10	NA	NA	FAM195A
44	4	14	27	4	83	28	15	1	4	19	30	58	20	37	5	22	4	28	22	29	NA	NA	FAM195B
2	4	9	14	10	10	2	1	1	2	17	4	9	2	5	0	5	1	4	6	0	NA	NA	FAM196A
3	4	17	5	11	5	7	1	0	5	7	7	8	3	2	1	1	0	8	2	6	NA	NA	FAM196B
17	1	11	14	1	5	2	1	1	0	2	4	5	2	0	0	2	0	5	4	11	NA	NA	FAM198A
63	68	87	59	80	192	29	27	3	65	96	79	89	20	3	1	46	0	138	42	76	NA	NA	FAM198B
105	26	120	151	27	357	64	57	13	29	73	68	189	31	21	0	41	1	134	37	137	139231	ENSG00000123575	FAM199X
2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	NA	NA	FAM19A1
1	2	1	2	1	2	3	1	1	4	3	4	6	3	0	0	1	0	6	0	1	NA	NA	FAM19A2
0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	FAM19A4
3	2	4	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	4	0	0	NA	NA	FAM19A5
22	0	1	6	4	27	3	4	1	7	12	18	23	2	1	0	2	0	2	6	12	221786	ENSG00000221909	FAM200A
9	3	21	30	13	85	13	4	2	17	16	14	61	13	5	0	21	1	46	4	22	285550	ENSG00000237765	FAM200B
0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	1	0	158228	NA	FAM201A
45	33	66	38	28	142	19	28	5	14	51	50	165	29	28	1	42	3	86	56	92	63877	ENSG00000165669	FAM204A
0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	100420875	NA	FAM204BP
0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	100420916	ENSG00000230902	FAM204CP
1	0	0	3	0	3	0	2	0	0	2	0	2	1	0	0	1	0	0	1	1	259308	ENSG00000205108	FAM205A
1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	389715	NA	FAM205BP
1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	1	NA	NA	FAM205CP
14	1	18	35	2	46	5	6	2	5	3	10	37	14	2	0	4	2	14	5	11	NA	NA	FAM206A
28	2	12	20	0	65	11	5	0	4	5	10	27	6	1	0	8	2	10	2	15	85395	ENSG00000160256	FAM207A
243	47	249	208	79	669	99	98	42	91	122	142	388	94	23	1	114	5	265	104	206	NA	NA	FAM208A
264	54	239	285	54	713	150	102	37	80	109	131	343	70	21	0	91	5	178	98	196	NA	NA	FAM208B
0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	200232	ENSG00000124103	FAM209A
203	41	78	107	6	299	36	54	9	41	77	85	215	45	34	1	49	9	106	49	116	54757	ENSG00000108950	FAM20A
137	31	138	131	36	249	35	51	8	46	41	39	171	33	46	2	34	4	131	52	125	9917	ENSG00000116199	FAM20B
198	30	66	162	19	118	49	15	4	47	44	84	51	21	25	0	35	1	72	28	100	56975	ENSG00000177706	FAM20C
25	6	44	36	6	73	17	3	3	12	8	20	25	5	3	0	5	1	18	6	19	125228	ENSG00000177150	FAM210A
93	42	70	82	24	234	31	34	5	69	43	95	187	34	6	0	25	1	53	36	57	116151	ENSG00000124098	FAM210B
5	0	1	1	0	6	5	0	1	1	2	0	18	1	1	0	1	0	4	8	1	NA	NA	FAM212A
24	6	52	38	3	35	10	9	1	5	25	14	31	10	9	0	8	1	32	23	64	NA	NA	FAM212B
0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	NA	NA	FAM212B-AS1
25	18	30	37	40	144	12	35	6	19	43	34	99	21	11	1	30	4	69	33	68	NA	NA	FAM213A
57	10	27	17	12	36	3	2	1	4	7	16	58	16	4	0	8	0	12	26	33	NA	NA	FAM213B
71	24	145	82	27	216	43	16	9	39	70	76	276	42	43	0	66	5	136	90	126	56204	ENSG00000047346	FAM214A
54	15	28	58	5	49	16	5	1	13	5	28	65	21	12	0	17	1	46	34	57	80256	ENSG00000005238	FAM214B
0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23591	ENSG00000267496	FAM215A
0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	644297	NA	FAM215B
14	5	8	8	1	14	4	5	4	3	14	3	11	2	5	0	7	0	12	6	10	29902	ENSG00000204856	FAM216A
7	14	74	1	5	12	0	7	1	2	19	3	5	11	0	0	13	1	1	4	3	144809	ENSG00000179813	FAM216B
0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	222826	ENSG00000145975	FAM217A
28	5	10	32	8	84	10	8	5	4	21	24	75	11	6	0	12	0	30	21	32	63939	ENSG00000196227	FAM217B
0	1	0	6	0	4	1	0	0	0	1	1	5	1	0	0	0	0	3	1	4	152756	ENSG00000250486	FAM218A
84	30	114	97	15	188	43	34	7	17	16	26	101	23	28	0	19	10	69	33	51	203259	ENSG00000164970	FAM219A
46	2	35	33	7	37	9	14	5	9	12	22	42	17	4	0	15	2	26	23	43	57184	ENSG00000178761	FAM219B
171	24	100	86	44	631	134	82	36	86	100	84	246	63	32	0	67	2	142	88	199	NA	NA	FAM21A
133	13	90	87	43	445	116	68	12	96	90	104	301	73	29	0	64	3	169	91	160	NA	NA	FAM21C
0	0	1	0	1	2	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	100421577	ENSG00000235618	FAM21EP
1	0	0	0	0	1	0	0	0	0	1	0	5	0	2	0	1	0	3	0	4	100288690	ENSG00000237840	FAM21FP
12	3	7	7	1	31	8	3	1	7	21	2	11	3	2	0	2	0	6	11	10	84792	ENSG00000178397	FAM220A
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100507415	NA	FAM220CP
8	2	8	14	5	23	6	1	1	9	10	9	27	3	15	0	11	1	21	7	13	340277	ENSG00000188732	FAM221A
0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	392307	ENSG00000204930	FAM221B
3	2	1	1	0	40	1	1	0	2	6	2	10	2	3	0	2	5	12	0	8	84915	ENSG00000139438	FAM222A
0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	84983	ENSG00000255650	FAM222A-AS1
101	19	36	84	21	219	48	37	4	22	55	49	138	13	23	1	27	1	66	34	85	55731	ENSG00000173065	FAM222B
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	401629	NA	FAM224B
0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	286333	ENSG00000231528	FAM225A
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	100128385	ENSG00000225684	FAM225B
10	3	31	11	0	27	6	2	0	4	4	2	10	3	2	0	6	0	5	4	3	646851	ENSG00000184949	FAM227A
2	0	4	3	0	5	0	2	1	1	4	2	5	2	1	0	0	1	4	2	4	196951	ENSG00000166262	FAM227B
1	0	3	2	0	8	0	0	1	0	1	0	2	1	0	0	0	0	3	0	2	653140	ENSG00000186453	FAM228A
19	6	29	24	0	62	15	15	3	4	22	9	41	3	3	0	7	0	38	4	35	375190	ENSG00000219626	FAM228B
1	0	12	7	0	7	4	3	0	0	1	1	7	4	1	0	4	0	0	2	9	100128071	ENSG00000225828	FAM229A
2	0	5	2	2	13	0	2	1	5	5	2	17	4	0	0	5	0	4	3	4	619208	ENSG00000203778	FAM229B
3	0	1	0	0	6	2	0	1	0	0	3	3	6	1	0	2	0	2	0	5	196792	ENSG00000213185	FAM24B
18	9	15	7	1	93	8	8	2	3	2	3	32	11	3	0	11	0	22	8	14	NA	NA	FAM26E
0	1	1	0	1	132	14	19	2	15	8	7	27	8	4	0	5	0	0	4	7	NA	NA	FAM26F
0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	100132948	ENSG00000231527	FAM27C
0	0	4	1	1	1	2	4	0	8	13	5	14	6	2	0	0	0	1	1	6	100131997	ENSG00000274026	FAM27E3
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107987001	NA	FAM27E4
88	26	64	114	38	399	78	51	19	60	68	76	279	60	32	0	85	1	112	70	128	26017	ENSG00000105058	FAM32A
0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	NA	NA	FAM32B
68	26	56	60	23	162	24	10	8	38	28	38	101	14	8	0	11	1	48	29	78	NA	NA	FAM35A
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	NA	FAM35BP
0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	2	NA	NA	FAM35CP
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	NA	NA	FAM35DP
61	4	4	38	2	48	21	9	2	22	16	24	44	16	13	0	19	0	36	11	50	60343	ENSG00000071889	FAM3A
2	4	4	9	1	1	0	1	0	4	3	5	3	0	0	0	3	0	5	0	3	54097	ENSG00000183844	FAM3B
51	10	53	72	18	198	19	31	4	28	24	23	81	35	7	4	44	5	54	32	66	10447	ENSG00000196937	FAM3C
3	0	0	1	0	16	0	0	0	0	1	1	1	1	0	0	1	0	2	0	6	NA	NA	FAM3C2
2	0	0	0	0	26	0	3	0	0	6	2	5	0	0	0	0	0	3	4	5	131177	ENSG00000198643	FAM3D
23	1	4	9	16	80	20	9	1	35	11	9	58	21	5	1	1	10	15	1	7	131583	ENSG00000185112	FAM43A
2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	163933	ENSG00000183114	FAM43B
10	3	19	5	6	76	9	8	0	10	12	9	34	9	4	0	21	0	21	13	50	NA	NA	FAM45A
0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	NA	NA	FAM45B
106	17	93	140	18	1229	101	143	13	47	49	77	141	45	8	2	57	3	136	43	143	NA	NA	FAM46A
20	1	3	16	2	11	2	0	0	0	9	2	12	1	2	2	0	1	3	6	6	NA	NA	FAM46B
99	24	94	144	6	206	98	43	38	41	131	149	705	242	11	0	99	2	125	75	169	NA	NA	FAM46C
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	FAM46D
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	442444	ENSG00000198173	FAM47C
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	139249	NA	FAM47DP
5	1	9	1	0	9	1	2	1	5	1	0	6	1	0	1	2	1	4	3	2	100129583	ENSG00000189157	FAM47E
53	4	43	63	15	308	45	70	4	22	24	12	67	6	13	0	26	0	32	6	51	100631383	ENSG00000272414	FAM47E-STBD1
34	37	52	52	23	85	14	7	0	40	49	56	86	21	12	0	41	0	105	36	98	NA	NA	FAM49A
74	53	185	99	58	393	37	38	4	78	51	72	253	59	12	0	68	4	147	33	127	NA	NA	FAM49B
396	18	118	217	40	511	97	97	22	102	82	103	226	76	87	2	133	14	184	105	189	9130	ENSG00000071859	FAM50A
10	1	0	2	0	27	4	3	5	4	1	1	4	1	4	1	1	0	6	2	8	26240	ENSG00000145945	FAM50B
5	0	0	5	0	0	0	0	0	0	0	4	2	1	2	0	0	0	1	0	1	152877	ENSG00000174137	FAM53A
