#NAME	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
#CLASS_CvsI	Infected	Infected	Infected	Infected	Infected	Control	Control	Control	Control	Control
CDC40	230	97	118	7	280	63	26	81	62	35
CDC42	757	494	639	83	815	164	127	193	198	111
CDC42-IT1	3	1	2	0	1	1	0	1	1	1
CDC42BPA	1455	432	645	68	1078	441	56	354	236	123
CDC42BPB	1694	568	616	68	1148	727	37	355	362	54
CDC42BPG	84	70	93	16	85	111	6	52	30	7
CDC42EP1	479	163	279	59	286	274	35	147	128	11
CDC42EP2	128	35	41	10	164	45	9	39	33	5
CDC42EP3	380	214	288	30	453	87	82	314	92	71
CDC42EP3P1	3	0	0	1	5	0	0	4	7	0
CDC42EP4	397	96	135	27	301	98	28	103	112	9
CDC42EP5	9	11	24	2	38	9	2	4	1	2
CDC42P1	1	0	0	0	2	0	0	1	1	0
CDC42P2	0	0	0	0	0	0	0	1	0	0
CDC42P3	1	0	0	0	0	0	0	0	0	0
CDC42P4	1	0	1	0	0	0	0	0	0	0
CDC42P5	3	1	1	0	6	0	0	1	2	0
CDC42P6	5	9	8	1	3	1	0	4	1	0
CDC42SE1	953	466	534	53	812	227	83	337	301	82
CDC42SE2	467	228	343	18	409	64	67	139	74	40
CDC45	31	4	26	1	31	6	2	4	5	0
CDC5L	701	283	347	37	634	144	25	136	147	42
CDC6	43	11	62	6	63	30	3	3	10	0
CDC7	42	17	48	2	52	26	8	8	30	0
CDC73	676	251	352	32	625	190	29	124	127	51
CDCA2	70	9	52	0	49	10	5	1	14	0
CDCA3	42	8	31	3	38	10	2	5	5	0
CDCA4	25	19	36	2	28	19	1	7	5	2
CDCA4P1	3	0	1	0	1	0	0	0	0	0
CDCA4P2	0	0	0	0	0	0	0	0	0	0
CDCA4P3	1	0	0	0	0	0	0	0	0	0
CDCA4P4	6	1	3	0	9	1	0	1	2	0
CDCA5	31	6	24	2	24	16	4	0	9	0
CDCA7	4	16	34	1	32	8	0	5	6	0
CDCA7L	86	67	151	4	125	44	17	6	36	1
CDCA8	34	11	39	3	66	7	1	1	3	1
CDCP1	199	120	91	2	133	29	11	34	116	12
CDCP2	0	0	0	0	0	0	0	0	0	0
CDH1	578	435	585	49	711	116	91	89	259	35
CDH10	0	0	1	1	1	0	0	0	0	0
CDH11	2003	1407	1581	58	1153	988	135	288	285	114
CDH12	0	0	0	0	0	0	0	0	0	0
CDH12P1	0	0	0	0	0	0	0	0	0	0
CDH12P2	0	0	0	0	0	0	0	0	0	0
CDH12P3	0	0	0	0	0	0	0	0	0	0
CDH12P4	0	0	0	0	0	0	0	0	0	0
CDH13	70	27	41	15	138	82	8	110	18	6
CDH15	2	1	0	0	1	7	0	0	0	0
CDH16	0	0	0	0	0	0	0	0	0	0
CDH17	0	1	1	0	0	0	0	0	1	0
CDH18	0	0	0	0	0	0	0	0	0	0
CDH19	10	2	14	1	7	2	2	3	6	0
CDH2	12	17	12	3	10	3	0	3	5	1
CDH20	1	0	0	0	4	0	0	0	0	0
CDH22	0	0	0	1	0	0	0	0	0	0
CDH23	202	56	56	21	173	91	3	42	46	8
CDH23-AS1	0	0	1	0	0	0	0	0	0	0
CDH24	27	22	7	7	16	17	0	0	11	0
CDH26	13	23	25	0	21	1	3	13	1	0
CDH3	79	106	85	23	103	6	3	0	32	8
CDH4	1	2	6	1	3	9	2	0	3	0
CDH5	1751	728	1002	174	1282	367	63	868	295	78
CDH6	96	52	87	6	83	88	15	90	17	14
CDH7	0	5	0	0	1	0	0	0	0	0
CDH8	0	0	4	1	2	0	0	1	0	0
CDH9	0	0	0	0	1	0	0	0	0	0
CDHR1	1	2	7	3	6	1	0	3	0	1
CDHR2	3	0	3	0	4	0	0	2	0	0
CDHR3	17	24	30	1	38	8	11	83	4	3
CDHR4	9	2	5	4	9	0	5	16	0	0
CDHR5	2	11	6	1	4	6	4	5	7	0
CDIP1	89	42	78	18	59	14	7	16	32	6
CDIPT	147	90	106	30	82	36	17	16	47	11
CDIPT-AS1	1	0	0	0	0	0	0	0	1	0
CDK1	67	25	107	1	105	20	9	2	9	5
CDK10	174	120	137	44	163	149	14	66	95	9
CDK11A	68	16	54	11	29	29	0	28	17	1
CDK11B	558	180	271	34	399	145	29	112	95	31
CDK12	1158	471	691	45	867	415	45	261	320	42
CDK13	616	281	388	54	514	232	16	144	120	24
CDK14	320	147	176	28	231	74	17	82	83	13
CDK15	8	1	4	2	0	1	0	1	0	0
CDK16	273	128	138	16	240	114	23	64	70	21
CDK17	567	206	308	25	515	198	31	214	95	84
CDK18	183	45	95	28	118	84	3	55	49	2
CDK19	143	72	162	11	201	38	12	61	63	18
CDK2	55	55	70	12	97	48	5	56	44	13
CDK20	19	11	18	4	11	7	0	10	10	1
CDK2AP1	172	103	121	5	198	84	10	35	43	12
CDK2AP2	283	75	88	9	96	57	4	38	40	5
CDK2AP2P2	0	0	0	0	0	0	0	0	0	0
CDK2AP2P3	0	1	0	0	0	0	0	0	0	0
CDK3	2	0	0	0	1	0	0	0	0	1
CDK4	110	59	68	12	70	46	2	19	32	8
CDK5	25	12	25	11	25	11	2	0	0	2
CDK5PS	0	0	2	0	0	0	0	0	0	0
CDK5R1	3	2	8	2	4	1	0	1	1	0
CDK5R2	0	1	2	0	0	0	0	0	0	0
CDK5RAP1	129	76	101	15	153	53	17	63	43	9
CDK5RAP2	856	285	552	50	698	323	22	189	153	45
CDK5RAP3	281	217	297	90	397	202	8	105	102	17
CDK6	363	161	228	23	259	122	27	76	83	11
CDK7	69	25	60	4	117	27	0	8	11	12
CDK8	124	57	58	15	130	32	6	45	37	5
CDK9	204	126	243	66	311	133	6	113	65	27
CDKAL1	224	83	171	11	199	52	10	46	68	17
CDKL1	20	13	36	6	44	23	0	15	13	11
CDKL2	17	5	61	4	13	9	6	4	21	1
CDKL3	0	0	2	0	2	2	0	1	0	0
CDKL4	4	1	0	0	0	0	0	0	3	0
CDKL5	217	107	135	24	181	104	13	78	61	25
CDKN1A	879	540	349	68	733	382	68	197	606	159
CDKN1B	447	223	322	68	437	90	31	132	104	27
CDKN1C	39	25	21	9	45	25	7	13	11	6
CDKN2A	16	11	10	0	11	3	0	2	1	2
CDKN2A-AS1	0	0	0	0	0	0	0	0	0	0
CDKN2AIP	99	28	65	4	76	11	6	25	43	13
CDKN2AIPNL	52	24	49	7	41	18	0	9	7	3
CDKN2AIPNLP1	0	0	0	0	0	0	0	0	0	0
CDKN2AIPNLP2	0	0	0	0	0	0	0	0	0	0
CDKN2AIPNLP3	0	0	0	0	0	0	0	0	0	0
CDKN2B	317	87	195	16	179	117	3	49	58	19
CDKN2B-AS	0	0	0	0	0	0	0	0	0	0
CDKN2B-AS1	3	3	7	0	1	4	0	0	0	0
CDKN2B-AS_3	0	0	0	0	0	0	0	0	0	0
CDKN2C	126	14	28	1	60	18	1	2	3	8
CDKN2D	62	10	70	3	68	19	3	52	15	10
CDKN3	52	10	41	0	58	6	4	1	8	1
CDNF	0	2	2	0	1	1	0	1	4	0
CDO1	16	5	15	3	23	27	0	4	5	0
CDON	41	13	15	5	55	12	2	6	1	1
CDPF1	14	14	10	0	11	10	0	1	6	0
CDR1	98	32	16	0	48	12	15	13	6	8
CDR1-AS	0	0	0	0	0	0	0	0	0	0
CDR2	232	78	129	11	158	77	2	130	46	6
CDR2L	183	98	70	18	137	134	9	28	96	14
CDRT1	8	0	0	0	1	4	0	0	2	0
CDRT15	0	0	0	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	0	0	0
CDRT15P1	1	0	1	0	1	0	0	0	0	0
CDRT15P2	0	0	0	0	0	0	0	0	0	0
CDRT4	6	5	4	1	6	2	2	2	1	0
CDRT7	0	0	0	0	0	0	0	0	0	0
CDRT8	0	0	0	0	0	0	0	0	0	0
CDS1	66	26	64	8	42	28	5	13	25	8
CDS2	517	249	286	47	419	147	66	219	147	65
CDSN	0	0	0	0	1	0	0	0	0	0
CDT1	12	1	20	3	23	3	1	1	2	0
CDV3	1393	552	819	106	1130	323	191	404	404	125
CDV3P1	1	0	0	0	0	0	0	0	0	0
CDX1	0	0	1	0	0	1	0	0	0	0
CDX2	0	0	0	0	1	0	0	0	0	0
CDX4	0	0	0	0	0	0	0	0	0	0
CDY1	0	0	0	0	0	0	0	0	0	0
CDY10P	0	0	0	0	0	0	0	0	0	0
CDY11P	0	0	0	0	1	0	0	0	0	0
CDY12P	0	0	0	0	0	0	0	0	0	0
CDY13P	0	0	0	0	0	0	0	0	0	0
CDY14P	0	0	0	0	0	0	0	0	0	0
CDY15P	0	0	0	0	0	0	0	0	0	0
CDY17P	0	0	0	0	0	0	0	0	0	0
CDY18P	0	0	0	0	0	0	0	0	0	0
CDY19P	0	0	0	0	0	0	0	0	0	0
CDY1B	0	0	0	0	0	0	0	0	0	0
CDY20P	0	0	0	0	0	0	0	0	0	0
CDY22P	0	0	0	0	0	0	0	0	0	0
CDY23P	0	0	0	0	0	0	0	0	0	0
CDY2A	0	0	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0	0	0
CDY3P	0	0	0	0	0	0	0	0	0	0
CDY4P	0	5	9	0	3	0	1	0	0	2
CDY5P	0	0	0	0	0	0	0	0	0	0
CDY6P	0	0	0	0	0	0	0	0	0	0
CDY7P	0	0	0	0	0	0	0	0	0	0
CDY8P	0	0	0	0	0	0	0	0	0	0
CDY9P	0	0	0	0	0	0	0	0	0	0
CDYL	189	103	167	4	293	57	12	55	75	8
CDYL2	152	63	91	6	133	76	12	41	17	14
CEACAM1	328	81	215	5	164	16	4	18	65	9
CEACAM16	2	0	0	0	1	0	0	0	0	0
CEACAM18	0	0	0	0	0	0	0	0	0	0
CEACAM19	57	18	23	3	29	29	2	34	19	0
CEACAM20	0	0	0	0	1	0	0	0	0	0
CEACAM21	3	3	17	3	10	0	1	2	1	0
CEACAM22P	0	1	1	0	1	0	0	0	1	0
CEACAM3	7	2	30	0	14	3	1	2	4	1
CEACAM4	6	6	10	1	9	0	0	2	0	3
CEACAM5	28	47	50	6	71	1	1	3	6	8
CEACAM6	3801	1865	2196	160	3029	263	158	287	809	199
CEACAM7	0	0	1	0	0	0	0	0	0	0
CEACAM8	24	57	302	0	59	13	1	4	22	1
CEACAMP1	0	0	0	0	0	0	0	0	0	0
CEACAMP10	0	0	0	0	1	0	0	0	0	0
CEACAMP11	0	0	0	0	0	0	0	0	0	0
CEACAMP2	0	0	0	0	0	0	0	1	0	0
CEACAMP3	0	0	0	0	0	0	1	0	1	1
CEACAMP4	0	0	0	1	0	0	0	0	0	0
CEACAMP5	0	0	0	0	1	0	0	0	0	0
CEACAMP6	0	0	0	0	0	0	0	0	0	0
CEACAMP7	0	0	0	0	0	0	0	0	0	0
CEACAMP8	0	0	0	0	0	0	0	0	0	0
CEACAMP9	0	0	0	0	0	0	0	0	0	0
CEBPA	7	19	79	7	23	5	5	9	8	3
CEBPA-AS1	4	6	10	1	8	2	1	2	0	0
CEBPB	338	252	239	76	537	160	72	284	227	150
CEBPB-AS1	2	0	3	0	2	0	0	0	3	0
CEBPD	810	348	267	91	637	397	79	291	211	80
CEBPE	9	1	16	1	4	0	0	1	0	0
CEBPG	575	60	117	5	250	134	8	99	92	33
CEBPZ	416	169	184	14	342	83	19	102	141	44
CEBPZOS	105	95	144	13	174	35	14	46	66	15
CECR1	533	250	452	18	421	33	146	58	21	54
CECR2	141	23	123	13	141	51	2	60	34	8
CECR3	1	1	1	0	0	0	0	0	0	0
CECR5	54	30	24	6	51	32	7	15	14	5
CECR5-AS1	0	0	0	0	0	0	0	0	0	0
CECR6	6	3	5	1	4	0	2	2	1	0
CECR7	9	5	7	1	25	0	0	1	0	0
CECR9	0	0	0	0	0	0	0	0	0	0
CEL	1	0	0	0	1	2	0	0	0	0
CELA1	0	0	0	0	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	1	0	0	1	0
CELA3A	0	0	0	0	0	0	0	0	0	0
CELA3B	0	0	0	0	1	0	0	0	0	0
CELF1	1067	368	579	103	705	323	90	333	316	94
CELF2	731	405	724	70	820	233	130	215	164	73
CELF2-AS1	96	65	51	5	93	19	8	53	54	13
CELF2-AS2	6	2	1	4	5	4	0	0	10	0
CELF3	1	0	0	0	0	0	0	0	0	1
CELF4	1	0	3	3	4	2	1	0	0	0
CELF5	0	1	0	0	0	0	0	0	0	0
CELF6	2	2	2	0	3	0	0	0	0	0
CELP	0	0	0	0	0	0	0	0	0	0
CELSR1	480	320	354	41	294	139	25	70	152	12
CELSR2	86	42	73	12	68	22	4	16	20	2
CELSR3	12	14	7	3	18	6	0	5	8	0
CELSR3-AS1	0	0	0	0	0	0	0	0	0	0
CEMIP	1051	385	674	77	1292	1404	62	30	560	102
CEMP1	0	0	0	0	0	0	0	0	0	0
CEND1	3	0	4	0	2	1	0	0	1	0
CEND1P1	0	0	0	0	0	0	0	0	0	0
CENPA	4	4	4	0	15	3	1	0	1	0
CENPB	356	234	313	80	455	357	38	110	154	34
CENPBD1	19	18	22	0	15	12	1	5	2	0
CENPBD1P1	84	37	38	16	50	54	4	27	23	6
CENPC	226	245	303	5	435	68	22	47	113	28
CENPCP1	2	2	1	1	1	0	0	0	1	0
CENPE	217	76	193	10	241	48	18	0	36	5
CENPF	580	184	513	11	504	88	36	18	65	22
CENPH	2	9	10	0	28	4	2	1	3	2
CENPI	16	6	21	0	29	1	1	0	0	0
CENPIP1	0	0	0	0	0	0	0	0	0	0
CENPJ	244	56	157	4	183	90	7	22	45	5
CENPK	28	36	51	2	113	13	6	11	10	4
CENPL	37	9	29	3	33	8	2	10	10	2
CENPM	9	1	8	3	12	1	1	0	1	0
CENPN	17	13	32	2	16	14	2	1	0	2
CENPO	54	33	66	6	49	32	5	2	4	1
CENPP	37	22	35	3	40	26	2	15	20	2
CENPQ	23	12	24	2	24	15	1	6	10	2
CENPT	168	107	116	27	214	141	6	51	41	6
CENPU	56	24	63	3	69	35	15	1	6	4
CENPUP1	0	0	0	0	0	0	0	0	1	0
CENPUP2	7	1	0	0	2	0	1	0	0	0
CENPV	6	7	12	2	15	13	0	11	4	0
CENPVP1	0	0	0	0	0	0	0	0	0	0
CENPVP3	0	0	0	0	0	0	0	0	0	0
CENPW	27	10	42	0	50	3	9	3	1	0
CEP104	253	148	207	34	250	104	6	52	59	20
CEP112	247	122	149	13	243	77	4	63	44	10
CEP120	369	158	166	13	262	80	25	76	71	31
CEP128	267	104	298	7	438	61	8	38	25	3
CEP131	58	18	84	16	84	74	6	22	8	4
CEP135	234	69	125	9	180	79	12	52	52	13
CEP152	378	117	133	8	307	77	5	54	34	13
CEP162	231	77	128	7	155	65	8	30	20	10
CEP164	199	122	199	48	351	168	12	89	90	4
CEP164P1	1	1	1	0	1	2	0	0	0	0
CEP170	943	543	428	15	809	341	49	297	208	81
CEP170B	240	163	193	45	268	206	10	93	140	4
CEP170P1	8	4	1	0	5	2	0	0	1	0
CEP19	52	7	16	0	18	13	1	4	1	1
CEP192	528	297	494	22	359	156	14	145	89	27
CEP250	482	270	341	34	621	279	23	171	259	20
CEP290	389	191	179	12	339	178	22	93	122	30
CEP295	393	173	240	4	389	99	11	56	65	16
CEP350	1733	712	905	40	1606	576	70	564	375	131
CEP41	86	38	43	4	64	22	10	12	26	0
CEP44	110	52	57	2	71	16	11	19	41	11
CEP55	70	30	76	2	112	8	5	0	5	7
CEP57	246	135	285	11	268	76	19	91	72	14
CEP57L1	92	35	94	2	96	29	14	22	31	4
CEP57L1P1	0	0	0	0	0	0	0	0	0	0
CEP63	370	130	183	18	300	102	24	129	53	34
CEP68	165	139	138	14	188	68	12	107	80	17
CEP70	156	141	209	6	278	62	19	56	83	18
CEP72	31	8	16	2	31	20	0	11	14	0
CEP76	32	34	43	6	56	18	2	7	10	2
CEP78	129	32	62	7	80	52	10	47	21	10
CEP83	145	51	83	5	138	61	10	37	45	13
CEP83-AS1	0	0	3	0	2	1	0	0	0	0
CEP85	108	47	77	9	125	37	1	23	31	1
CEP85L	193	119	178	9	211	67	11	76	47	6
CEP89	225	113	118	9	189	82	5	29	52	11
CEP95	271	137	190	11	214	96	11	88	114	19
CEP97	202	68	91	5	130	22	16	28	35	8
CEPT1	307	128	159	7	227	34	19	64	60	27
CER1	0	0	0	0	0	0	0	0	0	0
CERCAM	247	134	145	22	179	115	12	24	61	3
CERK	185	137	141	16	233	108	7	99	72	13
CERKL	64	21	23	0	40	0	8	26	3	1
CERS1	5	0	0	0	3	1	0	0	1	0
CERS2	618	265	341	56	452	211	47	118	144	46
CERS3	0	0	0	1	0	0	0	0	1	0
CERS3-AS1	0	0	1	0	1	0	0	0	0	0
CERS4	62	33	26	8	84	38	1	22	21	1
CERS5	99	41	100	13	111	67	12	59	51	8
CERS6	364	118	88	9	120	64	24	56	48	24
CERS6-AS1	0	0	0	0	0	0	0	0	0	0
CES1	383	95	144	20	228	162	9	106	54	63
CES1P1	2	4	0	0	2	15	0	3	1	2
CES1P2	0	0	0	0	0	0	0	0	0	0
CES2	116	73	132	34	193	64	17	45	62	1
CES3	1	0	4	5	7	1	1	1	1	0
CES4A	6	7	22	2	18	4	0	13	3	0
CES5A	0	0	0	0	0	0	0	0	0	0
CES5AP1	0	0	0	0	0	0	0	0	0	0
CETN1	0	0	0	0	0	0	0	0	0	0
CETN2	147	74	76	12	133	34	24	32	25	13
CETN3	114	40	41	1	77	11	1	15	11	2
CETN4P	0	0	1	0	0	0	0	0	0	0
CETP	4	3	13	1	12	0	0	1	0	0
CFAP126	0	0	0	0	0	0	0	0	0	0
CFAP20	89	27	59	1	58	24	6	5	11	1
CFAP221	15	19	96	0	29	13	11	13	13	0
CFAP36	258	159	169	15	309	119	24	97	67	30
CFAP43	40	19	39	3	58	10	5	89	6	1
CFAP44	211	71	147	5	169	67	15	81	34	1
CFAP44-AS1	0	0	1	0	0	0	0	0	0	0
CFAP45	32	5	16	2	53	14	3	52	12	2
CFAP46	14	11	11	1	32	8	7	42	2	0
CFAP52	1	4	2	2	11	0	0	7	2	1
CFAP53	35	21	13	1	28	4	1	30	5	0
CFAP54	56	20	28	3	36	15	0	23	8	1
CFAP57	10	8	11	1	11	3	2	23	1	1
CFAP58	8	5	10	0	12	0	0	17	1	0
CFAP61	1	0	2	1	2	0	0	15	3	1
CFAP69	50	21	10	2	71	18	5	32	14	1
CFAP70	112	24	41	5	54	23	0	75	22	2
CFAP74	10	2	13	2	17	11	10	11	2	0
CFAP97	259	136	202	5	283	124	43	76	131	45
CFAP99	0	0	0	5	1	0	0	2	2	1
CFB	210	13	73	2	94	16	5	11	8	4
CFC1	0	0	0	0	0	0	0	0	0	0
CFC1B	0	0	0	0	0	0	0	0	0	0
CFD	210	56	104	19	199	34	7	56	18	15
CFDP1	1090	358	426	11	583	199	37	153	176	77
CFH	3357	1021	1130	28	3111	924	144	302	310	177
CFHR1	3	0	0	0	1	0	0	0	0	0
CFHR2	0	0	0	0	0	0	0	0	0	0
CFHR3	6	0	1	0	3	1	0	0	0	1
CFHR4	0	0	0	0	0	0	1	0	0	0
CFHR5	0	0	0	0	0	0	0	0	0	0
CFI	366	172	243	13	223	64	25	18	37	24
CFL1	2143	1058	1621	214	2344	758	309	570	434	176
CFL1P1	1	0	1	0	3	0	0	1	0	1
CFL1P2	0	0	1	0	0	0	0	0	0	0
CFL1P3	6	0	4	0	2	0	0	0	2	0
CFL1P4	0	0	0	0	1	0	0	1	0	0
CFL1P5	5	5	1	0	8	4	0	1	1	0
CFL1P6	0	0	0	0	0	0	0	0	0	0
CFL1P7	0	0	0	1	0	0	0	0	0	0
CFL1P8	0	0	0	0	0	0	0	0	0	0
CFL2	221	43	95	13	142	75	23	65	32	29
CFLAR	4859	1904	2207	287	3383	908	205	1460	1288	203
CFLAR-AS1	212	86	68	14	128	22	15	96	66	8
CFP	42	26	57	10	66	22	3	5	8	8
CFTR	30	15	81	5	44	6	4	11	8	9
CFTRP1	0	0	0	0	0	0	0	0	0	0
CFTRP3	0	0	0	0	0	0	0	0	0	0
CGA	0	0	0	0	0	0	0	0	0	0
CGB	0	0	0	0	0	0	0	0	0	0
CGB1	0	0	0	0	0	0	0	0	0	0
CGB2	0	0	0	0	0	0	0	0	0	0
CGB5	0	1	0	0	0	0	0	0	0	0
CGB7	0	2	1	0	2	0	0	1	1	0
CGB8	0	0	0	0	0	0	0	0	0	0
CGGBP1	996	337	318	50	445	131	33	148	109	90
CGN	418	182	286	93	410	213	37	106	165	7
CGNL1	848	176	686	70	612	301	31	161	75	32
CGREF1	10	9	5	4	12	0	1	1	1	0
CGRRF1	48	25	35	2	48	4	2	14	27	12
CH17-118O6.2	8	0	5	1	6	0	0	1	0	0
CH17-118O6.3	0	0	0	0	2	0	0	0	0	0
CH17-118O6.4	0	0	0	0	0	0	0	0	0	0
CH17-125A10.1	0	0	0	0	0	0	0	0	0	0
CH17-125A10.2	0	0	0	0	0	0	0	0	0	0
CH17-128G5.1	0	0	0	0	0	0	0	0	0	0
CH17-12M21.1	0	0	1	0	0	1	0	0	0	0
CH17-132F21.4	0	0	0	0	0	0	0	0	0	0
CH17-132F21.5	0	0	0	0	0	0	0	0	0	0
CH17-13I23.1	0	0	0	0	0	0	0	0	0	0
CH17-13I23.2	0	0	0	0	0	0	0	0	0	0
CH17-13I23.3	0	0	1	0	0	0	0	0	2	0
CH17-140K24.1	0	0	0	0	0	0	0	0	0	0
CH17-140K24.2	0	0	0	0	0	0	0	0	0	0
CH17-140K24.3	0	0	0	0	0	0	0	0	0	0
CH17-140K24.4	0	0	0	0	0	0	0	0	0	0
CH17-140K24.5	3	0	1	0	1	0	0	0	0	0
CH17-140K24.6	2	0	0	0	1	0	0	1	0	0
CH17-140K24.7	0	0	0	0	0	0	0	0	0	0
CH17-140K24.8	0	0	0	0	0	0	0	0	0	0
CH17-164J11.1	0	0	0	0	0	0	0	0	0	0
CH17-189H20.1	17	3	9	0	3	0	2	5	2	1
CH17-219N22.1	0	0	0	0	0	0	0	0	0	0
CH17-223I5.1	0	0	0	0	0	0	0	0	0	0
CH17-223I5.10	0	0	0	0	0	0	0	0	0	0
CH17-223I5.2	0	0	0	0	0	0	0	0	0	0
CH17-223I5.5	0	0	0	0	0	0	0	0	0	0
CH17-223I5.7	0	0	0	0	0	0	0	0	0	0
CH17-223I5.9	0	0	0	0	0	0	0	0	0	0
CH17-224D4.1	0	0	0	0	0	0	0	0	0	0
CH17-228N4.2	0	0	0	0	0	0	0	0	0	0
CH17-232I21.1	0	0	0	0	0	0	0	0	0	0
CH17-248H7.2	0	0	0	0	0	0	0	0	0	0
CH17-248H7.3	0	0	0	0	0	0	0	0	0	0
CH17-258A22.4	0	0	0	0	0	0	0	0	0	0
CH17-260O16.1	1	0	0	1	0	1	0	0	0	0
CH17-262A2.1	1	1	1	0	2	0	1	0	0	1
CH17-262O2.1	0	0	0	0	0	0	0	0	0	0
CH17-262O2.2	0	0	0	0	0	0	0	0	0	0
CH17-264B6.1	0	0	0	0	0	0	0	0	0	0
CH17-264B6.3	0	0	0	0	0	0	0	0	0	0
CH17-264B6.4	0	0	0	0	0	0	0	0	0	0
CH17-264L24.1	18	14	9	1	20	1	1	3	2	0
CH17-270A2.1	0	0	0	0	0	0	0	0	0	0
CH17-270A2.2	0	0	0	0	0	0	0	0	0	0
CH17-302M23.1	1	0	4	0	0	0	0	1	1	0
CH17-333M13.1	0	0	0	0	0	0	0	0	0	0
CH17-333M13.2	0	0	0	0	0	0	0	0	0	0
CH17-335B8.4	0	0	0	0	0	0	0	0	0	0
CH17-340M24.3	3	3	11	0	10	0	2	1	2	0
CH17-351M24.1	0	0	0	5	0	0	0	0	0	1
CH17-353B19.1	0	0	0	0	0	0	0	0	1	0
CH17-360D5.1	1	0	0	1	0	0	0	0	0	0
CH17-360D5.2	67	7	7	2	9	13	1	0	1	0
CH17-360D5.3	3	0	1	0	6	1	1	0	0	0
CH17-373J23.1	3	2	0	0	6	1	0	3	4	1
CH17-385C13.2	0	0	0	0	1	0	0	0	0	0
CH17-38B12.4	0	0	0	0	0	0	0	0	0	0
CH17-39B16.1	0	0	0	0	0	0	0	0	0	0
CH17-39B16.2	0	0	0	0	0	0	0	0	0	0
CH17-39B16.5	0	0	0	0	0	0	0	0	0	0
CH17-408M7.1	0	1	0	1	0	0	0	1	1	0
CH17-409J4.2	0	0	0	0	0	0	0	0	0	0
CH17-431G21.1	26	14	14	2	29	4	0	14	14	0
CH17-437K3.1	0	0	0	0	2	0	0	0	0	0
CH17-451C3.1	0	0	0	0	0	0	0	0	0	0
CH17-472G23.1	0	0	0	1	6	1	0	1	0	0
CH17-472G23.2	15	6	5	0	8	2	4	8	2	0
CH17-472G23.4	166	101	120	2	237	163	2	45	19	7
CH17-478G19.2	0	0	0	0	0	0	0	0	0	0
CH17-52D20.1	0	0	0	0	0	0	0	0	0	0
CH17-52D20.2	0	0	0	0	0	0	0	0	0	0
CH17-52D20.3	0	0	0	0	0	0	0	0	0	0
CH17-53B9.2	0	0	0	0	0	0	0	0	0	0
CH17-53B9.4	0	0	0	0	0	0	0	0	0	0
CH17-60O17.1	0	0	0	0	0	0	0	0	0	0
CH17-64J14.4	0	0	0	0	0	0	0	0	0	0
CH17-64J14.5	0	0	0	0	0	0	0	0	0	0
CH17-64J14.6	0	0	0	0	0	0	0	0	0	0
CH17-76K2.6	6	1	2	2	6	0	0	0	2	0
CH17-78J1.1	0	0	0	0	0	0	0	0	0	2
CH17-80A12.1	0	0	0	0	0	0	0	0	1	0
CH25H	40	26	16	5	6	21	4	17	4	1
CH507-145C22.1	0	0	0	0	0	0	0	0	0	0
CH507-145C22.2	0	0	0	0	0	0	0	0	0	0
CH507-145C22.3	0	0	0	0	0	0	0	0	0	0
CH507-145C22.4	0	0	0	0	0	0	0	0	0	0
CH507-152C13.4	0	0	0	0	0	0	0	0	0	0
CH507-152C13.5	0	0	0	0	0	0	0	0	0	0
CH507-152C13.6	0	0	0	0	0	0	0	0	0	0
CH507-154B10.1	0	0	0	0	0	0	0	0	0	0
CH507-154B10.2	0	0	0	0	0	0	0	0	0	0
CH507-154B10.3	0	0	0	0	0	0	0	0	0	0
CH507-210P18.1	0	0	0	0	0	0	0	0	0	0
CH507-210P18.3	0	0	1	0	0	0	0	0	0	0
CH507-210P18.4	0	0	0	0	0	0	0	0	0	0
CH507-210P18.5	0	0	0	0	0	0	0	0	0	0
CH507-216K13.1	0	0	0	0	0	0	0	0	0	0
CH507-216K13.2	0	0	0	1	0	0	0	0	0	0
CH507-236L23.1	0	0	0	0	0	0	0	0	0	0
CH507-236L23.2	0	0	0	0	0	0	0	0	0	0
CH507-236L23.3	0	0	0	0	0	0	0	0	0	0
CH507-236L23.4	0	0	0	0	0	0	0	0	0	0
CH507-236L23.5	0	0	0	0	0	0	0	0	0	0
CH507-24F1.1	0	0	0	0	0	0	0	0	0	0
CH507-24F1.2	0	0	0	0	0	0	0	0	0	0
CH507-254M2.1	0	0	1	0	1	0	0	0	0	0
CH507-254M2.2	1	0	1	0	1	0	0	0	0	0
CH507-254M2.3	0	0	0	0	0	0	0	0	0	0
CH507-254M2.4	0	0	0	0	0	0	0	0	0	0
CH507-254M2.5	0	0	0	0	0	0	0	0	0	0
CH507-254M2.6	0	0	0	0	0	0	0	0	0	0
CH507-338C24.1	0	0	0	0	0	0	0	0	0	0
CH507-338C24.2	0	0	0	0	0	0	0	0	0	0
CH507-338C24.3	0	0	0	0	0	0	0	0	0	0
CH507-396I9.3	0	0	0	0	0	0	0	0	0	0
CH507-396I9.6	2	1	0	0	4	0	0	0	1	0
CH507-396I9.7	0	0	0	0	0	0	0	0	0	0
