	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
FAM45B	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
FAM46A	106	17	93	140	18	1229	101	143	13	47	49	77	141	45	8	2	57	3	136	43	143
FAM46B	20	1	3	16	2	11	2	0	0	0	9	2	12	1	2	2	0	1	3	6	6
FAM46C	99	24	94	144	6	206	98	43	38	41	131	149	705	242	11	0	99	2	125	75	169
FAM46D	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM47A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0
FAM47DP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAM47E	5	1	9	1	0	9	1	2	1	5	1	0	6	1	0	1	2	1	4	3	2
FAM47E-STBD1	53	4	43	63	15	308	45	70	4	22	24	12	67	6	13	0	26	0	32	6	51
FAM49A	34	37	52	52	23	85	14	7	0	40	49	56	86	21	12	0	41	0	105	36	98
FAM49B	74	53	185	99	58	393	37	38	4	78	51	72	253	59	12	0	68	4	147	33	127
FAM50A	396	18	118	217	40	511	97	97	22	102	82	103	226	76	87	2	133	14	184	105	189
FAM50B	10	1	0	2	0	27	4	3	5	4	1	1	4	1	4	1	1	0	6	2	8
FAM53A	5	0	0	5	0	0	0	0	0	0	0	4	2	1	2	0	0	0	1	0	1
FAM53B	62	9	50	45	2	131	12	18	1	16	33	33	105	8	16	0	25	2	58	19	49
FAM53B-AS1	1	1	1	2	0	2	0	0	0	0	3	1	11	2	0	0	1	0	4	0	6
FAM53C	52	17	136	91	17	114	18	7	5	26	35	25	118	15	29	4	40	3	51	27	68
FAM57A	10	5	2	12	0	20	6	4	1	7	6	12	16	2	2	0	3	0	6	5	20
FAM57B	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
FAM58A	20	2	3	11	6	29	5	2	0	4	5	11	16	4	0	0	8	0	9	7	14
FAM58BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM58CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM58DP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM60A	46	9	64	57	31	138	20	35	7	31	17	26	93	41	15	0	36	0	64	18	64
FAM60BP	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM60CP	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM60DP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM63A	54	1	28	20	6	76	7	11	6	26	28	11	109	24	24	1	20	0	29	31	64
FAM63B	227	29	139	143	60	343	84	50	14	49	73	83	217	45	20	0	54	2	185	53	146
FAM64A	0	0	0	1	0	5	0	0	0	0	0	1	9	0	0	0	0	0	0	0	4
FAM65A	431	142	369	234	181	979	187	122	25	148	163	175	492	125	67	1	131	8	303	198	368
FAM65B	85	32	325	142	34	328	73	77	10	14	32	60	193	70	105	0	48	4	186	36	149
FAM65C	48	0	15	31	9	123	46	25	10	5	5	5	79	42	21	0	31	1	72	30	101
FAM66A	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM66B	2	0	0	2	0	1	0	0	0	0	2	0	3	0	0	0	1	0	1	3	2
FAM66C	1	0	1	1	1	2	0	2	0	0	1	1	10	1	2	1	2	0	1	2	3
FAM66D	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM66E	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM69A	10	2	14	5	1	26	0	5	0	6	9	8	42	0	0	0	10	1	21	11	17
FAM69B	15	1	11	5	0	6	3	2	0	0	2	1	7	2	3	0	0	0	3	8	3
FAM69C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM71B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71E1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FAM71E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F2	4	0	0	1	0	5	1	1	0	2	7	5	18	3	3	0	4	0	5	0	5
FAM72A	0	0	0	2	1	5	2	1	0	0	0	4	4	0	0	0	4	0	0	0	2
FAM72B	0	0	1	1	0	12	4	1	1	0	0	1	0	0	0	0	0	0	5	0	6
FAM72C	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
FAM72D	0	0	0	0	0	10	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
FAM73A	77	12	64	104	21	157	24	16	2	24	56	35	105	16	13	1	25	1	78	41	94
FAM73B	96	4	20	35	1	51	15	3	1	4	19	18	65	32	30	0	13	1	23	24	20
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	55	10	24	33	9	65	5	2	1	16	16	17	49	13	7	0	8	0	24	12	56
FAM76B	31	9	56	24	6	103	16	16	1	25	35	45	92	20	4	0	35	1	98	33	73
FAM78A	10	3	52	6	1	66	14	17	4	21	21	13	101	36	10	0	35	4	51	19	39
FAM78B	4	0	0	3	0	5	0	0	0	1	0	3	1	2	0	0	0	1	1	1	0
FAM81A	3	1	2	5	1	1	0	0	1	1	1	1	1	1	0	0	0	0	5	1	0
FAM81B	2	5	9	1	0	1	0	0	1	0	0	0	0	1	0	0	11	0	3	1	1
FAM83A	0	0	2	13	0	29	2	0	0	13	16	37	10	0	0	0	7	0	3	3	9
FAM83A-AS1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4
FAM83B	1	1	0	4	4	0	0	0	0	2	4	5	2	1	0	0	3	1	0	2	4
FAM83C	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM83C-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83D	15	0	2	12	6	25	6	2	4	8	5	8	22	1	3	0	7	1	15	13	22
FAM83E	5	1	1	6	0	21	1	1	0	12	6	12	30	2	8	0	0	3	1	8	8
FAM83F	0	1	10	7	0	0	1	0	0	3	3	1	3	7	1	0	4	0	0	1	4
FAM83G	75	2	18	38	2	35	17	4	0	13	5	11	18	18	3	0	17	1	12	2	22
FAM83H	74	10	7	92	1	50	6	2	2	20	19	26	80	16	24	5	19	0	46	15	45
FAM83H-AS1	13	2	2	29	0	14	1	6	1	2	6	6	11	2	1	0	6	0	1	3	12
FAM84A	5	0	35	21	2	5	1	2	0	9	2	3	20	8	2	0	5	2	8	1	6
FAM84B	44	12	35	36	3	51	5	5	3	13	14	8	92	22	19	1	12	1	43	17	52
FAM85B	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM86B1	0	0	0	6	0	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	0
FAM86B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86B3P	14	1	5	29	0	5	0	0	0	3	4	4	5	6	0	0	2	0	8	4	9
FAM86C1	8	0	4	16	1	15	2	1	0	3	6	5	10	2	1	0	0	0	8	1	3
FAM86C2P	10	0	1	6	0	7	1	5	0	3	4	1	11	2	1	0	2	0	8	4	1
FAM86DP	28	1	12	8	1	32	4	3	0	6	4	17	31	3	3	0	3	1	6	2	20
FAM86EP	9	0	2	4	1	2	0	0	1	1	4	1	3	2	0	0	0	0	1	0	0
FAM86FP	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM86GP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FAM86HP	1	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0
FAM86JP	1	1	0	3	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
FAM86KP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86LP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86MP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM87A	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
FAM87B	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	2
FAM89A	8	11	23	19	5	67	7	4	1	8	6	8	27	7	3	0	4	0	11	9	22
FAM89B	11	1	6	5	0	13	1	1	1	5	6	1	22	1	6	0	11	0	6	0	6
FAM8A1	59	21	114	67	20	175	21	19	7	22	41	29	130	33	7	0	31	0	92	25	70
FAM8A2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A4P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM8A5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A6P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FAM90A1	1	0	4	1	1	1	0	0	0	2	0	2	1	0	2	0	0	1	1	0	3
FAM90A10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A13P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A16P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A18P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A19P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A20P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
FAM90A21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A23P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A24P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A25P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A27P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM90A28P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM90A2P	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM90A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	116	48	122	136	47	354	52	53	6	79	60	100	211	46	16	1	59	2	116	41	143
FAM91A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAM92A1	42	11	8	34	10	87	6	22	3	14	17	31	36	9	1	0	11	0	28	11	29
FAM92A1P1	0	1	1	0	0	5	1	0	0	1	7	1	0	1	0	0	1	0	0	0	3
FAM92A1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM92B	0	0	10	1	0	2	0	0	0	2	1	0	6	2	2	0	1	0	0	1	0
FAM95B1	2	1	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FAM95C	1	0	1	7	0	0	0	0	0	1	0	1	4	2	0	0	0	0	1	0	5
FAM96A	39	40	27	55	54	191	34	22	2	36	49	63	120	27	8	0	29	2	86	20	79
FAM96AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM96AP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAM96B	42	7	11	41	12	159	28	13	2	20	17	21	67	21	3	0	29	1	57	17	39
FAM98A	82	8	50	67	16	241	31	39	2	20	32	40	103	34	7	1	43	4	72	37	71
FAM98B	35	12	46	61	9	120	15	7	3	10	46	31	111	25	6	0	19	1	59	17	47
FAM98C	2	1	10	4	2	22	3	15	5	1	5	10	15	15	5	4	11	6	19	8	11
FAM99A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM9A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM9B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
FAM9C	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAN1	55	2	21	44	5	92	20	17	3	21	26	25	73	24	8	0	25	1	29	25	36
FANCA	33	1	7	14	1	32	8	1	1	9	6	6	37	14	15	4	10	0	22	11	20
FANCB	2	0	5	3	2	11	1	1	0	5	0	2	2	2	0	0	0	0	2	0	7
FANCC	39	3	32	47	2	39	6	7	2	13	6	6	49	4	2	0	12	1	24	17	9
FANCD2	9	7	6	15	5	27	3	4	4	12	18	15	76	22	6	0	27	0	48	10	48
FANCD2OS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FANCD2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCE	27	3	4	7	1	20	4	2	1	0	3	6	12	7	2	1	3	0	10	5	20
FANCF	9	0	4	12	3	40	9	5	1	6	7	10	25	2	1	0	12	0	7	6	20
FANCG	12	0	4	2	0	14	4	4	2	4	1	8	10	2	9	0	5	0	2	6	10
FANCI	35	13	11	37	7	117	14	12	3	20	10	14	115	37	9	0	44	3	67	12	49
FANCL	18	2	6	8	3	54	9	11	2	25	19	6	42	8	3	0	18	0	16	19	34
FANCM	38	3	13	18	5	32	3	10	1	15	6	13	36	12	2	0	10	0	22	13	33
FANK1	0	2	9	0	1	2	3	1	0	0	10	5	5	4	0	0	4	1	10	0	3
FANK1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	72	14	8	47	30	112	7	10	0	14	20	26	92	18	0	0	27	1	50	17	71
FAR1	169	38	160	171	92	353	85	78	15	134	88	93	316	61	11	0	65	5	173	59	244
FAR1-IT1	2	2	8	3	0	1	0	0	0	1	0	0	3	0	0	0	3	0	2	1	2
FAR1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR2	22	5	13	16	3	55	9	19	1	14	9	20	62	22	2	0	12	1	26	11	19
FAR2P1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P2	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	1	1	2	1	0
FAR2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP1	321	32	186	156	28	332	77	38	10	46	80	75	288	49	54	6	49	3	113	37	131
FARP1-AS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	94	24	69	108	7	175	18	22	8	38	32	32	159	44	17	1	28	1	98	34	80
FARS2	23	0	5	16	1	41	13	9	1	9	5	15	46	8	4	1	12	0	21	14	18
FARSA	121	9	27	48	8	142	32	15	8	49	25	47	120	15	21	0	34	1	69	32	69
FARSA-AS1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FARSB	65	8	16	39	17	67	7	8	5	28	19	20	65	19	8	0	21	0	51	26	45
FARSBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAS	173	39	108	99	31	285	63	59	9	51	56	77	185	19	11	0	52	2	77	34	107
FAS-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASLG	0	0	2	1	0	12	2	3	1	2	0	6	22	4	0	0	3	0	0	3	2
FASN	626	88	167	425	49	532	113	58	13	235	435	558	2396	509	313	15	356	19	517	250	611
FASTK	79	3	11	31	2	128	32	7	2	9	19	34	70	24	21	1	16	0	31	11	31
FASTKD1	37	6	13	10	4	81	12	8	0	13	31	25	68	15	2	0	17	0	50	8	63
FASTKD2	49	4	22	54	14	94	15	30	2	19	25	24	69	11	7	0	12	0	49	20	42
FASTKD3	16	7	5	5	0	12	0	3	0	2	2	5	22	5	5	0	2	0	13	1	13
FASTKD5	53	3	19	29	5	82	5	12	8	13	14	15	66	18	1	0	7	0	31	16	22
FAT1	906	100	412	434	122	1032	132	103	24	213	319	351	804	154	53	0	254	8	453	229	674
FAT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT2	4	2	11	7	0	20	0	1	0	21	15	18	16	7	0	0	28	2	13	20	25
FAT3	174	5	74	3	3	66	12	12	2	10	13	18	26	8	4	0	16	3	16	10	38
FAT4	679	38	344	180	47	762	147	78	28	68	116	145	478	103	36	2	111	6	277	157	267
FATE1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAU	426	87	218	231	94	817	177	148	43	133	162	217	712	162	106	0	179	5	358	170	362
FAUP1	0	1	1	3	0	8	1	0	0	0	0	7	19	4	4	0	1	0	0	0	1
FAUP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAXC	1	0	1	5	0	20	3	3	0	1	3	5	7	0	3	0	0	1	4	2	0
FAXDC2	57	3	93	38	31	204	31	16	8	44	65	60	201	50	19	0	33	2	93	53	114
FBF1	11	1	7	11	0	33	7	1	5	4	10	10	8	0	7	0	2	0	5	5	4
FBL	121	20	59	66	18	200	44	39	11	31	29	54	154	19	35	2	51	10	90	57	112
FBLIM1	152	7	113	106	14	142	56	9	3	44	45	62	156	22	73	1	24	6	93	73	141
FBLL1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FBLN1	718	67	382	371	191	3259	271	429	79	277	265	353	845	170	262	11	296	22	776	691	648
FBLN2	309	17	43	121	55	697	50	64	19	68	107	156	185	32	18	0	62	3	190	162	199
FBLN5	352	47	456	178	35	640	79	98	16	79	111	144	315	64	26	0	59	3	222	137	153
FBLN7	0	1	9	1	2	3	1	2	0	1	2	1	9	3	2	0	4	0	5	15	6
FBN1	1252	145	292	322	255	3438	307	422	70	198	318	414	1251	259	160	0	349	6	960	585	860
FBN2	18	5	3	6	2	14	3	0	1	8	5	9	8	4	2	0	6	0	8	2	8
FBN3	2	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	3	0
FBP1	19	38	23	3	5	57	4	6	0	20	49	35	117	18	23	1	26	1	19	28	59
FBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBP2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FBRS	200	66	151	136	20	364	91	52	18	80	63	111	326	75	105	4	86	13	194	96	123
FBRSL1	138	7	108	79	12	153	38	24	5	38	32	39	147	34	58	3	72	3	69	50	85
FBXL12	27	3	15	17	1	24	8	4	1	22	8	17	38	6	16	0	10	4	10	11	21
FBXL13	3	0	4	5	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	3
FBXL14	29	0	14	19	1	162	43	20	2	4	2	11	20	2	5	0	8	0	16	2	15
FBXL15	14	1	1	4	0	7	0	0	0	2	5	4	10	4	11	0	0	0	3	0	3
FBXL16	3	0	4	1	1	4	1	0	1	3	1	1	18	2	3	0	0	0	6	0	2
FBXL17	32	16	22	24	7	68	15	3	1	6	8	17	86	19	8	2	22	1	29	22	34
FBXL18	21	0	20	9	0	31	9	4	1	7	7	8	42	12	3	1	3	1	4	5	22
FBXL19	57	3	41	23	3	63	22	9	2	15	21	16	48	16	19	3	20	3	28	10	20
FBXL19-AS1	19	3	4	4	1	21	5	5	2	2	2	6	5	1	2	0	5	1	5	2	10
FBXL2	7	5	2	37	0	35	0	3	0	19	5	12	32	2	1	0	3	0	12	4	12
FBXL20	69	39	125	111	42	259	35	36	7	60	90	81	185	35	21	2	47	2	115	62	125
FBXL21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL22	2	0	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	0	2	0	3
FBXL3	158	31	173	128	50	348	38	60	12	72	48	74	254	45	33	0	65	3	178	86	172
FBXL4	27	14	44	71	30	162	18	21	1	32	51	60	102	18	8	0	25	2	44	7	75
FBXL5	148	48	259	145	74	581	91	124	8	134	101	108	421	90	56	3	99	6	254	69	278
FBXL6	12	1	4	3	0	13	3	2	0	2	2	2	14	4	6	0	1	0	9	2	6
FBXL7	41	9	52	19	7	177	33	15	4	8	17	7	37	18	6	0	22	0	14	23	33
FBXL8	4	1	2	8	0	6	3	0	0	8	8	6	12	1	2	0	2	1	7	1	10
FBXO10	10	1	2	14	2	20	2	1	0	1	1	1	9	5	4	0	1	0	3	8	7
FBXO11	156	39	164	106	31	499	55	67	13	81	81	68	254	63	15	1	80	1	229	82	268
FBXO15	0	0	5	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	1	0	2
FBXO16	0	0	1	2	4	2	1	0	0	7	4	1	9	3	3	0	3	0	1	0	3
FBXO17	27	1	12	9	1	22	3	1	2	1	3	5	12	16	3	2	4	0	11	3	9
FBXO18	133	18	112	108	21	288	40	41	12	59	57	85	181	36	21	0	66	3	98	42	142
FBXO2	11	0	2	2	1	38	14	2	0	3	12	5	14	7	4	0	4	1	8	6	5
FBXO21	111	16	66	65	11	228	32	17	6	37	49	56	178	36	21	1	36	1	85	50	97
FBXO22	60	16	41	135	12	74	19	18	4	37	55	59	128	30	11	1	39	1	88	28	95
FBXO24	2	0	1	1	0	3	0	0	0	0	2	0	5	0	1	0	0	0	0	0	0
FBXO25	46	10	55	32	17	129	18	16	4	20	17	34	140	26	8	0	27	1	54	32	52
FBXO27	6	0	0	1	0	5	1	1	0	2	1	0	8	2	1	0	0	1	8	4	2
FBXO28	58	34	47	56	16	132	21	14	7	27	24	29	102	10	8	0	29	0	40	11	88
FBXO3	84	21	98	74	23	239	33	33	4	52	49	43	134	39	35	1	58	2	87	40	110
FBXO3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO30	73	22	52	73	22	141	26	21	4	24	43	39	120	25	9	0	40	1	84	27	95
FBXO31	54	2	48	51	11	168	32	17	5	19	13	25	38	16	16	0	21	12	42	42	36
FBXO32	29	12	73	78	57	240	37	6	4	58	54	54	118	18	13	0	101	2	270	194	184
FBXO33	25	2	28	23	9	55	7	8	4	22	14	16	36	7	4	0	6	0	38	10	18
FBXO34	34	11	58	73	20	139	11	11	4	25	28	39	103	19	6	0	16	1	31	19	49
FBXO36	0	1	6	11	0	6	0	0	0	0	2	6	4	3	3	0	7	0	6	3	6
FBXO36-IT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO36P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO38	95	26	119	106	19	207	34	48	5	76	76	71	256	60	17	1	57	4	112	60	142
FBXO39	0	0	0	0	0	1	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0
FBXO4	31	0	9	5	2	27	1	0	1	4	3	4	28	7	1	0	10	0	17	4	11
FBXO40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1
FBXO41	3	2	5	4	0	10	0	2	0	10	3	5	16	6	10	1	7	1	17	3	3
FBXO42	75	11	63	49	11	145	24	22	3	22	35	57	80	23	11	0	19	0	44	39	104
FBXO43	1	0	0	0	0	2	2	0	0	0	0	1	11	1	0	0	4	0	0	1	0
FBXO44	40	3	21	24	0	37	13	11	2	3	14	22	47	11	19	1	11	2	24	20	34
FBXO45	37	5	24	25	16	93	13	7	2	5	28	10	49	4	4	0	8	0	25	10	31
FBXO46	38	6	32	16	2	58	17	9	2	6	6	21	61	4	12	0	8	0	23	20	18
FBXO47	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FBXO48	1	1	13	10	1	20	1	4	0	6	1	6	14	1	2	1	1	2	10	3	11
FBXO5	12	5	10	12	3	66	6	13	0	6	8	6	36	17	1	1	9	0	34	6	32
FBXO6	3	3	0	4	1	67	15	10	3	1	7	4	29	6	2	0	3	1	11	3	12
FBXO7	122	60	236	204	62	372	75	72	11	84	106	132	340	66	30	0	54	6	194	63	141
FBXO8	16	3	18	17	4	93	23	19	4	14	9	11	39	15	3	0	10	1	31	7	30
FBXO9	135	9	77	52	14	151	37	20	6	42	67	70	220	52	28	1	34	2	117	42	107
FBXW10	0	1	0	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0
FBXW11	70	18	88	48	7	178	32	16	11	36	24	32	134	19	7	0	31	2	75	24	67
FBXW11P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FBXW12	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
FBXW2	145	65	138	171	34	331	45	43	6	69	72	105	285	52	26	0	66	4	138	72	135
FBXW4	137	25	111	72	18	137	11	30	7	22	36	38	121	25	55	9	39	9	57	38	77
